Strategic,Monitor,On,Thursday,26-April-2018,filename:CCITY_20180426

Thursday,26-April-2018,00:00,SS,85M+,PL,8.3,PV,7.4,CL,100,+0,RL,89,SA,0,DS,0
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,183,S,20,AC,97,18,6,5,20,7,6,13,5,5,0,0,0,28
,183,S,21,B,25,35,5,3,24,3,2,0,0,0,-,-,-,34
,184,S,161,A,119,15,7,6,24,10,10,23,12,11,0,0,0,27
,184,S,162,B,0,0,0,0,0,0,0,-,-,-,-,-,-,0
,183,S,183,B,25,35,5,3,24,3,2,-,-,-,-,-,-,34
,183,L,7,AC,97,18,6,5,-,-,-,-,-,-,-,-,-,140
A=<37,B=46,C=#20
Thursday,26-April-2018,00:13,SS,10M+,PL,4.2,PV,4.2,CL,118,+0,RL,101,SA,20,DS,20
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,354,S,30,A,104,14,4,5,11,3,4,9,2,3,-,-,-,13
,354,S,31,B,17,10,2,1,15,2,1,0,0,0,-,-,-,13
,182,S,34,A,110,0,0,0,10,4,4,-,-,-,-,-,-,9
,2,L,14,AD,67,6,2,1,19,5,6,-,-,-,-,-,-,900
,2,L,15,AD,67,-,-,-,-,-,-,-,-,-,-,-,-,0
A=<47,B=53
Thursday,26-April-2018,00:14,SS,58,-,PL,1.3,PV,1.3,CL,80,+0,RL,73,SA,0,DS,0
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,288,S,206,A,75,9,3,3,0,0,0,18,7,6,0,0,0,18
,288,S,270,B,0,0,0,0,0,0,0,-,-,-,-,-,-,0
A=<81,B=#15
Thursday,26-April-2018,00:15,SS,85M+,PL,8.3,PV,8.3,CL,100,+0,RL,91,SA,0,DS,0
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,908,S,287,AC,103,-,-,-,18,8,5,0,0,0,-,-,-,15
,196,S,310,A,47,18,3,2,56,8,8,104,5,14,-,-,-,90
,196,S,311,ABE,70,0,0,0,40,7,8,21,4,5,6,2,2,51
,196,S,312,D,21,55,2,3,56,4,4,63,5,5,0,0,0,40
,197,L,71,ABF,58,20,6,4,21,7,5,-,-,-,-,-,-,280
,197,L,72,ABF,58,17,5,3,20,6,4,-,-,-,-,-,-,220
A=<18,B=20,C=#25,D=20,E=17
Thursday,26-April-2018,00:15,SS,58,-,PL,1.3,PV,1.3,CL,67,+0,RL,67,SA,133,DS,9
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,288,S,206,A,72,26,8,7,7,2,2,33,12,10,0,0,0,25
,288,S,270,B,0,0,0,0,0,0,0,-,-,-,-,-,-,0
A=<73,B=#18
Thursday,26-April-2018,00:15,SS,6M+,PL,5.3,PV,5.3,CL,117,+0,RL,100,SA,15,DS,154
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,183,S,20,AC,91,24,8,7,18,6,5,11,4,4,0,0,0,25
,183,S,21,B,30,32,4,3,25,4,3,0,0,0,-,-,-,33
,184,S,161,A,119,17,8,7,22,10,9,9,4,4,0,0,0,23
,184,S,162,B,0,0,0,0,0,0,0,-,-,-,-,-,-,0
,183,S,183,B,30,32,4,3,25,4,3,-,-,-,-,-,-,33
,183,L,7,AC,91,24,8,7,-,-,-,-,-,-,-,-,-,160
A=<37,B=46,C=#20
Thursday,26-April-2018,00:15,SS,10M+,PL,4.2,PV,4.2,CL,117,+0,RL,100,SA,15,DS,154
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,354,S,30,A,107,11,6,4,9,5,3,0,0,0,-,-,-,12
,354,S,31,B,23,25,5,2,15,3,1,0,0,0,-,-,-,18
,182,S,34,A,102,0,0,0,9,3,3,-,-,-,-,-,-,10
,2,L,14,AD,39,39,4,5,28,5,5,-,-,-,-,-,-,860
,2,L,15,AD,39,-,-,-,-,-,-,-,-,-,-,-,-,0
A=<47,B=53
Thursday,26-April-2018,00:16,SS,58,-,PL,1.3,PV,1.3,CL,85,+0,RL,60,SA,0,DS,0
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,288,S,206,A,72,26,8,7,7,2,2,33,12,10,0,0,0,30
,288,S,270,B,0,0,0,0,0,0,0,-,-,-,-,-,-,0
A=<79,B=#18
Thursday,26-April-2018,00:16,SS,85M+,PL,8.3,PV,8.4,CL,100,+0,RL,92,SA,0,DS,0
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,908,S,287,AC,79,-,-,-,18,6,4,0,0,0,-,-,-,16
,196,S,310,A,39,43,3,5,74,7,8,73,5,8,-,-,-,83
,196,S,311,ABE,38,0,0,0,27,2,3,0,0,0,0,0,0,40
,196,S,312,D,29,39,3,3,51,6,5,51,4,6,42,2,3,47
,197,L,71,ABF,110,24,11,10,25,14,12,-,-,-,-,-,-,520
,197,L,72,ABF,110,17,5,6,8,3,3,-,-,-,-,-,-,280
A=<18,B=20,C=#25,D=20,E=17
Thursday,26-April-2018,00:17,SS,6M+,PL,5.3,PV,5.3,CL,119,+0,RL,99,SA,15,DS,154
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,183,S,20,AC,91,24,8,7,18,6,5,11,4,4,0,0,0,23
,183,S,21,B,30,32,4,3,25,4,3,0,0,0,-,-,-,33
,184,S,161,A,117,24,11,10,33,14,14,11,5,5,5,2,2,27
,184,S,162,B,0,0,0,0,0,0,0,-,-,-,-,-,-,0
,183,S,183,B,30,32,4,3,25,4,3,-,-,-,-,-,-,33
,183,L,7,AC,91,24,8,7,-,-,-,-,-,-,-,-,-,180
A=<37,B=46,C=#20
Thursday,26-April-2018,00:17,SS,10M+,PL,3.2,PV,3.2,CL,119,+0,RL,99,SA,15,DS,154
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,354,S,30,A,96,25,12,8,22,11,7,9,3,3,-,-,-,18
,354,S,31,B,16,7,2,0,12,2,1,9,2,1,-,-,-,17
,182,S,34,A,114,0,0,0,10,4,4,-,-,-,-,-,-,10
,2,L,14,AD,38,32,3,4,0,0,0,-,-,-,-,-,-,500
,2,L,15,AD,38,-,-,-,-,-,-,-,-,-,-,-,-,0
A=<53,B=47
Thursday,26-April-2018,00:17,SS,58,-,PL,1.3,PV,1.3,CL,85,+0,RL,61,SA,201,DS,22
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,288,S,206,A,79,17,6,5,6,2,1,15,6,5,0,0,0,26
,288,S,270,B,0,0,0,0,0,0,0,-,-,-,-,-,-,0
A=<81,B=#16
Thursday,26-April-2018,00:18,SS,85M+,PL,6.3,PV,6.4,CL,100,+0,RL,92,SA,0,DS,0
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,908,S,287,AC,79,-,-,-,18,6,4,0,0,0,-,-,-,18
,196,S,310,A,46,35,4,4,52,5,7,37,2,5,-,-,-,71
,196,S,311,ABE,46,12,2,2,44,5,6,40,6,6,10,2,2,38
,196,S,312,D,36,36,5,4,53,4,6,77,11,11,24,3,2,65
,197,L,71,ABF,63,28,7,7,24,3,6,-,-,-,-,-,-,540
,197,L,72,ABF,63,34,8,7,15,4,3,-,-,-,-,-,-,320
A=<15,B=20,C=#25,D=23,E=17
Thursday,26-April-2018,00:19,SS,58,-,PL,1.3,PV,1.3,CL,85,+0,RL,64,SA,201,DS,16
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,288,S,206,A,72,19,6,5,0,0,0,17,6,5,0,0,0,21
,288,S,270,B,0,0,0,0,0,0,0,-,-,-,-,-,-,0
A=<79,B=#18
Thursday,26-April-2018,00:19,SS,6M+,PL,5.3,PV,5.3,CL,120,+0,RL,99,SA,20,DS,18
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,183,S,20,AC,59,18,3,3,11,3,2,12,4,3,0,0,0,21
,183,S,21,B,39,39,6,5,45,6,6,30,3,4,-,-,-,38
,184,S,161,A,115,13,6,5,24,11,10,16,8,7,0,0,0,27
