Strategic,Monitor,On,Thursday,31-May-2018,filename:CCITY_20180531

Thursday,31-May-2018,00:00,SS,6M+,PL,6.3,PV,6.3,CL,91,+0,RL,86,SA,20,DS,32
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,196,S,310,A,34,91,7,9,42,4,4,50,4,5,-,-,-,75
,196,S,311,ABE,34,0,0,0,47,5,5,47,5,5,22,3,3,43
,196,S,312,D,45,97,2,14,10,2,1,31,7,5,18,3,2,66
,197,L,71,ABF,35,41,5,5,41,6,6,-,-,-,-,-,-,380
,197,L,72,ABF,35,49,5,6,47,5,5,-,-,-,-,-,-,380
A=<10,B=20,C=#25,D=27,E=18
Thursday,31-May-2018,00:05,SS,6M+,PL,6.3,PV,6.3,CL,86,+0,RL,86,SA,20,DS,39
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,183,S,20,AC,51,39,6,6,8,2,1,15,4,3,0,0,0,28
,183,S,21,B,34,30,3,3,42,5,5,31,5,4,-,-,-,36
,184,S,161,A,84,14,5,4,27,9,8,18,7,6,0,0,0,31
,184,S,162,B,0,0,0,0,0,0,0,-,-,-,-,-,-,0
,183,S,183,B,34,30,3,3,42,5,5,-,-,-,-,-,-,36
,183,L,7,AC,51,39,6,6,-,-,-,-,-,-,-,-,-,140
A=<29,B=48,C=#20
Thursday,31-May-2018,00:05,SS,58M+,PL,1.3,PV,1.3,CL,86,+0,RL,69,SA,200,DS,11
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,288,S,206,A,84,21,8,7,0,0,0,12,5,4,0,0,0,17
,288,S,270,B,0,0,0,0,0,0,0,-,-,-,-,-,-,0
A=<78,B=#19
Thursday,31-May-2018,00:06,SS,10,-,PL,4.2,PV,3.2,CL,60,+0,RL,60,SA,30,DS,17
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,354,S,30,A,32,17,3,2,10,2,1,0,0,0,-,-,-,19
,354,S,31,B,15,0,0,0,21,2,1,0,0,0,-,-,-,40
,182,S,34,A,48,0,0,0,25,4,4,-,-,-,-,-,-,33
A=<47,B=53
Thursday,31-May-2018,00:07,SS,10,-,PL,4.2,PV,4.2,CL,60,+0,RL,60,SA,30,DS,22
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,354,S,30,A,45,20,5,3,21,5,3,22,5,3,-,-,-,17
,354,S,31,B,27,27,2,3,50,6,5,0,0,0,-,-,-,45
,182,S,34,A,48,0,0,0,25,4,4,-,-,-,-,-,-,31
A=<47,B=53
Thursday,31-May-2018,00:07,SS,85M+,PL,2.3,PV,3.3,CL,100,+0,RL,95,SA,310,DS,93
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,908,S,287,AC,89,-,-,-,38,11,10,19,7,4,-,-,-,26
,196,S,310,A,30,97,6,8,28,3,3,49,4,4,-,-,-,93
,196,S,311,ABE,30,12,2,1,24,3,2,38,4,4,17,2,2,42
,196,S,312,D,43,37,4,5,24,2,3,95,12,16,23,3,3,84
,197,L,71,ABF,61,24,6,5,19,6,5,-,-,-,-,-,-,400
,197,L,72,ABF,61,11,3,2,15,4,3,-,-,-,-,-,-,280
A=<10,B=20,C=#25,D=27,E=18
Thursday,31-May-2018,00:07,SS,6M+,PL,6.3,PV,6.3,CL,86,+0,RL,86,SA,20,DS,38
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,183,S,20,AC,53,29,5,4,30,6,5,38,7,8,0,0,0,33
,183,S,21,B,27,12,2,1,51,6,5,12,2,1,-,-,-,46
,184,S,161,A,85,9,3,2,18,6,5,19,8,7,0,0,0,23
,184,S,162,B,0,0,0,0,0,0,0,-,-,-,-,-,-,0
,183,S,183,B,27,12,2,1,51,6,5,-,-,-,-,-,-,46
,183,L,7,AC,53,29,5,4,-,-,-,-,-,-,-,-,-,160
A=<29,B=48,C=#20
Thursday,31-May-2018,00:07,SS,58M+,PL,1.3,PV,1.3,CL,86,+0,RL,69,SA,201,DS,30
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,288,S,206,A,85,18,7,6,9,3,2,6,3,2,0,0,0,18
,288,S,270,B,0,0,0,0,0,0,0,-,-,-,-,-,-,0
A=<80,B=#17
Thursday,31-May-2018,00:08,SS,10,-,PL,1.2,PV,1.2,CL,60,+5,RL,60,SA,30,DS,16
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,354,S,30,A,66,14,5,3,16,5,3,6,2,1,-,-,-,18
,354,S,31,B,0,0,0,0,0,0,0,0,0,0,-,-,-,21
,182,S,34,A,70,0,0,0,0,0,0,-,-,-,-,-,-,14
A=<64,B=36
Thursday,31-May-2018,00:08,SS,6M+,PL,6.3,PV,6.3,CL,86,+0,RL,86,SA,20,DS,16
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,183,S,20,AC,59,0,0,0,11,3,2,16,5,4,0,0,0,28
,183,S,21,B,30,38,6,4,35,4,4,0,0,0,-,-,-,43
,184,S,161,A,85,6,2,2,14,5,4,15,6,5,0,0,0,19
,184,S,162,B,0,0,0,0,0,0,0,-,-,-,-,-,-,0
,183,S,183,B,30,38,6,4,35,4,4,-,-,-,-,-,-,43
,183,L,7,AC,59,0,0,0,-,-,-,-,-,-,-,-,-,100
A=<29,B=48,C=#20
Thursday,31-May-2018,00:08,SS,58M+,PL,4.3,PV,4.3,CL,86,+0,RL,69,SA,0,DS,0
