Strategic,Monitor,On,Wednesday,06-June-2018,filename:CCITY_20180606

Wednesday,06-June-2018,00:00,SS,6M+,PL,4.3,PV,4.3,CL,86,+0,RL,86,SA,20,DS,14
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,183,S,183,B,33,25,3,3,0,0,0,-,-,-,-,-,-,28
,183,L,7,AC,55,14,3,2,-,-,-,-,-,-,-,-,-,120
A=<31,B=46,C=#20
Wednesday,06-June-2018,00:07,SS,58M+,PL,4.3,PV,4.3,CL,86,+0,RL,69,SA,0,DS,0
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,288,S,206,A,84,14,6,4,7,3,2,17,8,6,0,0,0,18
,288,S,270,B,12,28,2,1,0,0,0,-,-,-,-,-,-,13
A=<63,B=#32
Wednesday,06-June-2018,00:07,SS,85M+,PL,7.3,PV,1.3,CL,100,+0,RL,90,SA,0,DS,0
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,908,S,287,AC,44,-,-,-,13,3,2,19,4,2,-,-,-,25
,196,S,310,A,43,0,0,0,25,4,3,24,2,3,-,-,-,57
,196,S,311,ABE,43,10,2,2,40,6,5,15,3,2,0,0,0,30
,196,S,312,D,32,54,5,5,24,3,2,63,8,8,36,4,3,59
,197,L,71,ABF,46,22,4,3,15,3,3,-,-,-,-,-,-,260
,197,L,72,ABF,46,19,4,3,14,3,2,-,-,-,-,-,-,140
A=<16,B=20,C=#25,D=22,E=17
Wednesday,06-June-2018,00:08,SS,6M+,PL,5.3,PV,8.3,CL,86,+0,RL,86,SA,20,DS,29
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,183,S,20,AC,55,14,3,2,12,3,2,29,7,6,0,0,0,28
,183,S,21,B,33,25,3,3,0,0,0,10,2,1,-,-,-,27
,184,S,161,A,75,17,5,4,21,6,5,8,3,2,0,0,0,23
,184,S,162,B,0,0,0,0,0,0,0,-,-,-,-,-,-,0
,183,S,183,B,33,25,3,3,0,0,0,-,-,-,-,-,-,27
,183,L,7,AC,55,14,3,2,-,-,-,-,-,-,-,-,-,80
A=<31,B=46,C=#20
Wednesday,06-June-2018,00:08,SS,58M+,PL,4.3,PV,4.3,CL,86,+0,RL,69,SA,201,DS,15
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,288,S,206,A,74,15,5,4,8,3,2,8,3,2,0,0,0,17
,288,S,270,B,11,0,0,0,0,0,0,-,-,-,-,-,-,9
A=<65,B=#30
Wednesday,06-June-2018,00:08,SS,10,+,PL,4.2,PV,4.2,CL,68,-4,RL,64,SA,30,DS,11
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,354,S,30,A,65,11,4,2,10,4,2,5,2,1,-,-,-,21
,354,S,31,B,26,35,3,3,25,4,3,18,3,2,-,-,-,26
,182,S,34,A,49,0,0,0,43,7,7,-,-,-,-,-,-,29
A=<47,B=53
Wednesday,06-June-2018,00:09,SS,85M+,PL,5.3,PV,5.3,CL,100,+0,RL,89,SA,0,DS,0
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,908,S,287,AC,67,-,-,-,26,8,5,0,0,0,-,-,-,25
,196,S,310,A,47,44,3,6,0,0,0,34,3,5,-,-,-,48
,196,S,311,ABE,47,9,2,2,34,6,5,19,4,3,8,2,1,33
,196,S,312,D,35,30,4,3,12,2,1,71,10,10,0,0,0,66
,197,L,71,ABF,51,22,4,4,14,4,3,-,-,-,-,-,-,280
,197,L,72,ABF,51,30,6,5,18,4,3,-,-,-,-,-,-,220
A=<14,B=20,C=#25,D=24,E=17
Wednesday,06-June-2018,00:09,SS,10,-,PL,4.2,PV,3.2,CL,61,+0,RL,61,SA,30,DS,26
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,354,S,30,A,66,14,4,3,14,4,3,26,8,5,-,-,-,22
,354,S,31,B,22,29,4,2,16,2,1,0,0,0,-,-,-,27
,182,S,34,A,46,0,0,0,25,3,4,-,-,-,-,-,-,29
A=<47,B=53
Wednesday,06-June-2018,00:10,SS,6M+,PL,5.3,PV,6.3,CL,86,+0,RL,86,SA,20,DS,44
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,183,S,20,AC,38,44,4,5,26,4,3,8,2,1,0,0,0,36
,183,S,21,B,27,34,3,3,0,0,0,32,3,3,-,-,-,29
,184,S,161,A,85,10,4,3,37,12,11,16,7,5,0,0,0,28
,184,S,162,B,0,0,0,0,0,0,0,-,-,-,-,-,-,0
,183,S,183,B,27,34,3,3,0,0,0,-,-,-,-,-,-,29
,183,L,7,AC,38,44,4,5,-,-,-,-,-,-,-,-,-,140
A=<31,B=46,C=#20
Wednesday,06-June-2018,00:10,SS,58M+,PL,4.3,PV,4.3,CL,86,+0,RL,69,SA,201,DS,70
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,288,S,206,A,75,22,8,6,6,2,1,8,3,2,0,0,0,19
,288,S,270,B,11,0,0,0,0,0,0,-,-,-,-,-,-,6
A=<67,B=#28
Wednesday,06-June-2018,00:10,SS,10,-,PL,4.2,PV,4.2,CL,60,+0,RL,60,SA,30,DS,31
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,354,S,30,A,52,31,9,5,30,9,5,4,2,1,-,-,-,25
,354,S,31,B,18,24,2,2,41,3,3,0,0,0,-,-,-,36
,182,S,34,A,47,15,3,2,28,4,5,-,-,-,-,-,-,30
A=<47,B=53
Wednesday,06-June-2018,00:11,SS,85M+,PL,5.3,PV,6.3,CL,100,+0,RL,88,SA,0,DS,0
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,908,S,287,AC,75,-,-,-,52,13,11,11,4,2,-,-,-,36
,196,S,310,A,40,46,3,5,66,7,8,40,4,5,-,-,-,50
,196,S,311,ABE,40,0,0,0,30,4,4,25,3,4,13,2,2,34
,196,S,312,D,31,54,5,5,14,2,1,59,7,7,11,2,1,64
,197,L,71,ABF,63,21,4,5,25,7,6,-,-,-,-,-,-,300
,197,L,72,ABF,63,29,7,6,9,2,2,-,-,-,-,-,-,260
A=<14,B=20,C=#25,D=24,E=17
Wednesday,06-June-2018,00:11,SS,6M+,PL,5.3,PV,5.3,CL,88,+0,RL,86,SA,20,DS,44
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,183,S,20,AC,38,44,4,5,26,4,3,8,2,1,0,0,0,41
,183,S,21,B,27,34,3,3,0,0,0,32,3,3,-,-,-,32
,184,S,161,A,85,6,2,2,19,6,5,9,4,3,0,0,0,25
,184,S,162,B,0,0,0,0,0,0,0,-,-,-,-,-,-,0
,183,S,183,B,27,34,3,3,0,0,0,-,-,-,-,-,-,32
,183,L,7,AC,38,44,4,5,-,-,-,-,-,-,-,-,-,180
A=<31,B=46,C=#20
Wednesday,06-June-2018,00:11,SS,58M+,PL,1.3,PV,1.3,CL,88,+0,RL,69,SA,200,DS,4
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,288,S,206,A,76,15,5,4,6,2,1,9,3,3,0,0,0,17
,288,S,270,B,0,0,0,0,0,0,0,-,-,-,-,-,-,0
A=<76,B=#21
Wednesday,06-June-2018,00:11,SS,10,-,PL,1.2,PV,1.2,CL,60,+5,RL,60,SA,57,DS,82
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,354,S,30,A,67,13,4,3,14,4,3,0,0,0,-,-,-,22
,354,S,31,B,0,0,0,0,0,0,0,0,0,0,-,-,-,20
,182,S,34,A,50,0,0,0,0,0,0,-,-,-,-,-,-,15
A=<64,B=36
Wednesday,06-June-2018,00:12,SS,85M+,PL,3.3,PV,3.3,CL,100,+0,RL,88,SA,0,DS,0
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,908,S,287,AC,58,-,-,-,45,7,7,12,3,2,-,-,-,43
,196,S,310,A,42,27,2,3,45,3,5,26,2,3,-,-,-,52
,196,S,311,ABE,42,27,2,5,25,3,3,33,5,5,22,4,3,32
,196,S,312,D,31,0,0,0,0,0,0,70,8,8,30,4,3,67
,197,L,71,ABF,54,18,4,3,15,4,3,-,-,-,-,-,-,260
,197,L,72,ABF,54,9,2,2,22,4,4,-,-,-,-,-,-,240
A=<11,B=20,C=#25,D=26,E=18
Wednesday,06-June-2018,00:13,SS,10,-,PL,1.2,PV,2.2,CL,60,+0,RL,60,SA,30,DS,36
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,354,S,30,A,26,36,4,3,33,4,3,19,3,2,-,-,-,28
,354,S,31,B,24,0,0,0,0,0,0,14,2,1,-,-,-,15
,182,S,34,A,50,0,0,0,0,0,0,-,-,-,-,-,-,6
A=<64,B=36
Wednesday,06-June-2018,00:13,SS,6M+,PL,5.3,PV,5.3,CL,87,+0,RL,86,SA,20,DS,18
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,183,S,20,AC,38,18,2,2,10,2,1,14,3,2,0,0,0,32
,183,S,21,B,28,0,0,0,0,0,0,0,0,0,-,-,-,19
,184,S,161,A,85,6,2,2,12,4,3,10,4,3,7,2,2,20
,184,S,162,B,0,0,0,0,0,0,0,-,-,-,-,-,-,0
,183,S,183,B,28,0,0,0,0,0,0,-,-,-,-,-,-,19
,183,L,7,AC,38,18,2,2,-,-,-,-,-,-,-,-,-,140
A=<31,B=46,C=#20
Wednesday,06-June-2018,00:13,SS,58M+,PL,1.3,PV,1.3,CL,87,+0,RL,70,SA,201,DS,50
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,288,S,206,A,85,7,3,2,5,2,1,5,2,2,0,0,0,13
,288,S,270,B,0,0,0,0,0,0,0,-,-,-,-,-,-,0
A=<78,B=#19
Wednesday,06-June-2018,00:14,SS,10,-,PL,4.2,PV,4.2,CL,85,+0,RL,60,SA,30,DS,31
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,354,S,30,A,40,19,2,3,10,2,1,31,4,4,-,-,-,29
,354,S,31,B,23,45,4,4,58,4,5,20,2,2,-,-,-,31
,182,S,34,A,61,0,0,0,25,6,5,-,-,-,-,-,-,11
A=<47,B=53
Wednesday,06-June-2018,00:14,SS,85M+,PL,3.3,PV,2.3,CL,100,+0,RL,88,SA,0,DS,0
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,908,S,287,AC,57,-,-,-,13,3,2,8,2,1,-,-,-,32
,196,S,310,A,42,27,2,3,45,3,5,26,2,3,-,-,-,50
,196,S,311,ABE,42,27,2,5,25,3,3,33,5,5,22,4,3,32
,196,S,312,D,31,0,0,0,0,0,0,70,8,8,30,4,3,68
,197,L,71,ABF,39,30,4,4,30,5,5,-,-,-,-,-,-,300
,197,L,72,ABF,39,9,2,1,10,2,1,-,-,-,-,-,-,160
A=<11,B=20,C=#25,D=26,E=18
Wednesday,06-June-2018,00:14,SS,6M+,PL,5.3,PV,3.3,CL,86,+0,RL,86,SA,20,DS,13
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,183,S,20,AC,54,13,3,2,8,2,1,10,3,2,0,0,0,21
,183,S,21,B,33,42,7,5,0,0,0,39,4,4,-,-,-,26
,184,S,161,A,89,8,3,2,20,7,6,9,4,3,0,0,0,17
,184,S,162,B,0,0,0,0,0,0,0,-,-,-,-,-,-,0
,183,S,183,B,33,42,7,5,0,0,0,-,-,-,-,-,-,26
,183,L,7,AC,54,13,3,2,-,-,-,-,-,-,-,-,-,100
A=<31,B=46,C=#20
Wednesday,06-June-2018,00:14,SS,58M+,PL,1.3,PV,1.3,CL,86,+0,RL,70,SA,0,DS,0
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,288,S,206,A,88,9,4,3,0,0,0,6,3,2,0,0,0,10
,288,S,270,B,11,0,0,0,0,0,0,-,-,-,-,-,-,0
A=<80,B=#17
Wednesday,06-June-2018,00:15,SS,10,+,PL,4.2,PV,4.2,CL,83,+0,RL,60,SA,30,DS,29
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,354,S,30,A,38,29,5,4,23,4,3,28,4,3,-,-,-,31
,354,S,31,B,22,0,0,0,22,2,2,0,0,0,-,-,-,32
,182,S,34,A,48,9,2,1,16,3,3,-,-,-,-,-,-,15
A=<47,B=53
Wednesday,06-June-2018,00:16,SS,6M+,PL,5.3,PV,5.3,CL,86,+0,RL,86,SA,20,DS,13
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,183,S,20,AC,54,13,3,2,8,2,1,10,3,2,0,0,0,14
,183,S,21,B,33,42,7,5,0,0,0,39,4,4,-,-,-,33
,184,S,161,A,85,11,4,3,16,5,5,11,4,4,7,2,2,16
