Strategic,Monitor,On,Thursday,07-June-2018,filename:CCITY_20180607

Thursday,07-June-2018,00:00,SS,85M+,PL,3.3,PV,3.4,CL,100,+0,RL,90,SA,0,DS,0
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,183,S,20,AC,57,20,4,3,22,4,4,16,4,4,0,0,0,20
,183,S,21,B,29,27,3,3,42,5,4,16,2,2,-,-,-,40
,184,S,161,A,85,10,4,3,21,7,6,10,4,3,8,3,2,18
,184,S,162,B,0,0,0,0,0,0,0,-,-,-,-,-,-,0
,183,S,183,B,29,27,3,3,42,5,4,-,-,-,-,-,-,40
,183,L,7,AC,57,20,4,3,-,-,-,-,-,-,-,-,-,100
A=<29,B=48,C=#20
Thursday,07-June-2018,00:09,SS,58M+,PL,4.3,PV,4.3,CL,86,+0,RL,69,SA,200,DS,10
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,288,S,206,A,86,15,6,5,0,0,0,15,6,5,0,0,0,18
,288,S,270,B,0,0,0,0,0,0,0,-,-,-,-,-,-,12
A=<67,B=#28
Thursday,07-June-2018,00:09,SS,10,-,PL,4.2,PV,4.2,CL,60,+0,RL,60,SA,30,DS,22
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,354,S,30,A,59,22,6,4,18,5,4,14,4,3,-,-,-,25
,354,S,31,B,0,0,0,0,0,0,0,0,0,0,-,-,-,27
,182,S,34,A,66,7,2,1,15,4,3,-,-,-,-,-,-,15
A=<47,B=53
Thursday,07-June-2018,00:10,SS,85M+,PL,8.3,PV,8.3,CL,100,+0,RL,96,SA,0,DS,0
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,908,S,287,AC,107,-,-,-,29,12,9,4,2,1,-,-,-,32
,196,S,310,A,43,46,5,6,0,0,0,38,4,5,-,-,-,83
,196,S,311,ABE,43,8,2,1,64,9,9,36,6,5,13,3,2,53
,196,S,312,D,30,33,2,3,43,4,4,46,6,5,12,2,1,52
,197,L,71,ABF,51,12,2,2,18,3,4,-,-,-,-,-,-,220
,197,L,72,ABF,51,30,4,5,47,7,8,-,-,-,-,-,-,320
A=<18,B=20,C=#25,D=20,E=17
Thursday,07-June-2018,00:10,SS,6M+,PL,6.3,PV,6.3,CL,86,+0,RL,86,SA,20,DS,13
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,183,S,20,AC,59,7,2,1,10,2,2,13,4,3,0,0,0,17
,183,S,21,B,31,21,3,2,43,5,5,23,3,2,-,-,-,40
,184,S,161,A,85,9,3,3,18,6,5,12,5,4,0,0,0,19
,184,S,162,B,0,0,0,0,0,0,0,-,-,-,-,-,-,0
,183,S,183,B,31,21,3,2,43,5,5,-,-,-,-,-,-,40
,183,L,7,AC,59,7,2,1,-,-,-,-,-,-,-,-,-,80
A=<29,B=48,C=#20
Thursday,07-June-2018,00:10,SS,10,-,PL,4.2,PV,4.2,CL,60,+0,RL,60,SA,0,DS,0
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,354,S,30,A,25,0,0,0,0,0,0,0,0,0,-,-,-,13
,354,S,31,B,25,39,4,3,60,5,6,16,2,1,-,-,-,42
,182,S,34,A,74,11,3,3,27,5,7,-,-,-,-,-,-,20
A=<47,B=53
Thursday,07-June-2018,00:10,SS,58M+,PL,1.3,PV,1.3,CL,86,+0,RL,69,SA,0,DS,0
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,288,S,206,A,84,11,4,4,0,0,0,13,5,4,0,0,0,16
,288,S,270,B,0,0,0,0,0,0,0,-,-,-,-,-,-,0
A=<76,B=#21
Thursday,07-June-2018,00:11,SS,10,-,PL,4.2,PV,4.2,CL,60,+0,RL,60,SA,0,DS,0
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,354,S,30,A,42,0,0,0,0,0,0,0,0,0,-,-,-,5
,354,S,31,B,25,37,3,3,69,6,7,0,0,0,-,-,-,51
,182,S,34,A,73,6,2,1,24,7,6,-,-,-,-,-,-,23
A=<47,B=53
Thursday,07-June-2018,00:12,SS,85M+,PL,6.3,PV,6.2,CL,100,+0,RL,95,SA,0,DS,0
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,908,S,287,AC,91,-,-,-,25,7,7,5,2,1,-,-,-,31
,196,S,310,A,54,51,8,8,29,4,5,31,5,5,-,-,-,72
,196,S,311,ABE,54,0,0,0,58,9,10,32,7,6,7,2,1,57
,196,S,312,D,32,56,4,6,48,2,5,56,5,7,0,0,0,52
,197,L,71,ABF,42,36,6,5,30,5,5,-,-,-,-,-,-,280
,197,L,72,ABF,42,72,8,10,44,6,6,-,-,-,-,-,-,440
A=<15,B=20,C=#25,D=23,E=17
Thursday,07-June-2018,00:12,SS,6M+,PL,6.3,PV,6.3,CL,86,+0,RL,86,SA,20,DS,18
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,183,S,20,AC,55,13,3,2,18,4,3,17,3,4,0,0,0,17
,183,S,21,B,32,9,2,1,52,7,6,18,3,2,-,-,-,47
,184,S,161,A,85,11,4,3,23,7,7,15,6,5,0,0,0,21
,184,S,162,B,0,0,0,0,0,0,0,-,-,-,-,-,-,0
,183,S,183,B,32,9,2,1,52,7,6,-,-,-,-,-,-,47
,183,L,7,AC,55,13,3,2,-,-,-,-,-,-,-,-,-,80
A=<29,B=48,C=#20
Thursday,07-June-2018,00:12,SS,58M+,PL,1.3,PV,1.3,CL,86,+0,RL,69,SA,0,DS,0
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,288,S,206,A,86,15,6,5,0,0,0,14,6,5,0,0,0,14
,288,S,270,B,0,0,0,0,0,0,0,-,-,-,-,-,-,0
A=<78,B=#19
Thursday,07-June-2018,00:12,SS,10,-,PL,3.2,PV,3.2,CL,60,+0,RL,60,SA,30,DS,26
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,354,S,30,A,62,26,7,5,25,7,5,17,4,3,-,-,-,12
,354,S,31,B,0,0,0,0,0,0,0,0,0,0,-,-,-,36
,182,S,34,A,73,6,2,1,24,7,6,-,-,-,-,-,-,25
A=<53,B=47
Thursday,07-June-2018,00:13,SS,85M+,PL,6.3,PV,8.3,CL,100,+0,RL,91,SA,0,DS,0
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,908,S,287,AC,54,-,-,-,35,6,6,17,3,3,-,-,-,30
,196,S,310,A,43,43,5,5,88,9,11,57,7,7,-,-,-,67
,196,S,311,ABE,43,17,3,3,37,5,5,64,11,9,10,2,2,62
,196,S,312,D,37,11,2,1,51,6,6,66,7,9,30,3,3,58
,197,L,71,ABF,34,48,7,6,31,6,4,-,-,-,-,-,-,320
,197,L,72,ABF,34,44,4,5,60,7,6,-,-,-,-,-,-,460
A=<15,B=20,C=#25,D=23,E=17
Thursday,07-June-2018,00:13,SS,6M+,PL,6.3,PV,6.3,CL,86,+0,RL,86,SA,20,DS,30
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,183,S,20,AC,54,23,4,4,30,5,5,21,4,4,0,0,0,22
,183,S,21,B,23,19,3,1,15,2,1,0,0,0,-,-,-,35
,184,S,161,A,85,21,7,6,32,10,9,10,4,3,0,0,0,26
,184,S,162,B,0,0,0,0,0,0,0,-,-,-,-,-,-,0
,183,S,183,B,23,19,3,1,15,2,1,-,-,-,-,-,-,35
,183,L,7,AC,54,23,4,4,-,-,-,-,-,-,-,-,-,100
A=<29,B=48,C=#20
Thursday,07-June-2018,00:13,SS,58M+,PL,4.3,PV,4.3,CL,86,+0,RL,69,SA,201,DS,18
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,288,S,206,A,83,15,6,5,0,0,0,12,5,4,0,0,0,15
,288,S,270,B,14,32,2,1,49,2,2,-,-,-,-,-,-,22
A=<63,B=#32
Thursday,07-June-2018,00:13,SS,10,-,PL,3.2,PV,4.2,CL,60,+0,RL,60,SA,0,DS,0
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,354,S,30,A,25,0,0,0,0,0,0,0,0,0,-,-,-,9
,354,S,31,B,14,16,2,1,0,0,0,0,0,0,-,-,-,22
,182,S,34,A,50,0,0,0,21,2,4,-,-,-,-,-,-,23
A=<53,B=47
Thursday,07-June-2018,00:14,SS,10,-,PL,3.2,PV,3.2,CL,60,+0,RL,60,SA,30,DS,17
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,354,S,30,A,47,17,4,3,11,3,2,13,3,2,-,-,-,13
,354,S,31,B,13,0,0,0,0,0,0,0,0,0,-,-,-,5
,182,S,34,A,61,7,2,1,0,0,0,-,-,-,-,-,-,15
A=<53,B=47
Thursday,07-June-2018,00:15,SS,6M+,PL,6.3,PV,5.3,CL,86,+0,RL,86,SA,20,DS,19
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,183,S,20,AC,62,19,4,4,16,4,3,6,2,1,0,0,0,22
,183,S,21,B,25,30,4,2,27,4,2,0,0,0,-,-,-,31
,184,S,161,A,85,10,3,3,18,6,5,15,6,5,7,2,2,24
,184,S,162,B,0,0,0,0,0,0,0,-,-,-,-,-,-,0
,183,S,183,B,25,30,4,2,27,4,2,-,-,-,-,-,-,31
,183,L,7,AC,62,19,4,4,-,-,-,-,-,-,-,-,-,140
A=<29,B=48,C=#20
Thursday,07-June-2018,00:15,SS,58M+,PL,4.3,PV,4.3,CL,86,+0,RL,69,SA,200,DS,10
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,288,S,206,A,73,13,4,4,14,4,3,24,8,7,0,0,0,19
,288,S,270,B,0,0,0,0,0,0,0,-,-,-,-,-,-,16
A=<65,B=#30
Thursday,07-June-2018,00:15,SS,85M+,PL,8.3,PV,8.3,CL,100,+0,RL,91,SA,0,DS,0
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,908,S,287,AC,83,-,-,-,11,4,3,0,0,0,-,-,-,22
,196,S,310,A,43,43,5,5,88,9,11,57,7,7,-,-,-,80
,196,S,311,ABE,43,17,3,3,37,5,5,64,11,9,10,2,2,63
,196,S,312,D,37,11,2,1,51,6,6,66,7,9,30,3,3,64
,197,L,71,ABF,56,34,8,6,36,10,8,-,-,-,-,-,-,420
,197,L,72,ABF,56,44,7,8,20,3,4,-,-,-,-,-,-,440
A=<18,B=20,C=#25,D=20,E=17
Thursday,07-June-2018,00:15,SS,10,-,PL,2.2,PV,2.2,CL,60,+4,RL,60,SA,30,DS,34
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,354,S,30,A,76,34,11,9,28,10,7,14,5,3,-,-,-,21
,354,S,31,B,0,0,0,0,0,0,0,0,0,0,-,-,-,4
,182,S,34,A,61,7,2,1,0,0,0,-,-,-,-,-,-,10
A=<60,B=40
