Strategic,Monitor,On,Saturday,02-June-2018,filename:CCITY_20180602

,354,S,31,B,25,17,2,2,68,4,7,0,0,0,-,-,-,42
,182,S,34,A,72,0,0,0,23,6,6,-,-,-,-,-,-,25
A=<47,B=53
Saturday,02-June-2018,00:05,SS,6M+,PL,7.3,PV,8.3,CL,86,+0,RL,86,SA,20,DS,49
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,183,S,20,AC,57,49,10,8,36,7,6,23,5,5,0,0,0,49
,183,S,21,B,36,24,3,3,60,8,8,14,3,2,-,-,-,44
,184,S,161,A,85,18,6,5,44,14,13,26,11,9,0,0,0,55
,184,S,162,B,0,0,0,0,0,0,0,-,-,-,-,-,-,0
,183,S,183,B,36,24,3,3,60,8,8,-,-,-,-,-,-,44
,183,L,7,AC,57,49,10,8,-,-,-,-,-,-,-,-,-,240
A=<27,B=50,C=#20
Saturday,02-June-2018,00:05,SS,58M+,PL,1.3,PV,1.3,CL,86,+0,RL,69,SA,201,DS,40
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,288,S,206,A,69,47,14,12,0,0,0,26,8,8,0,0,0,44
,288,S,270,B,0,0,0,0,0,0,0,-,-,-,-,-,-,0
A=<76,B=#21
Saturday,02-June-2018,00:06,SS,10,-,PL,4.2,PV,2.2,CL,60,+0,RL,60,SA,30,DS,29
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,354,S,30,A,64,29,8,6,18,6,4,14,4,3,-,-,-,28
,354,S,31,B,0,0,0,0,0,0,0,0,0,0,-,-,-,22
,182,S,34,A,46,12,2,2,0,0,0,-,-,-,-,-,-,19
A=<47,B=53
Saturday,02-June-2018,00:06,SS,85M+,PL,8.3,PV,8.4,CL,110,+0,RL,116,SA,310,DS,127
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,908,S,287,AC,68,-,-,-,56,13,11,16,3,3,-,-,-,45
,196,S,310,A,48,63,5,9,57,8,8,166,4,22,-,-,-,127
,196,S,311,ABE,48,9,2,2,57,9,9,46,8,7,33,6,6,43
,196,S,312,D,34,47,3,5,38,5,4,94,11,12,33,3,3,83
,197,L,71,ABF,38,97,9,13,78,12,12,-,-,-,-,-,-,720
,197,L,72,ABF,38,62,8,8,75,8,9,-,-,-,-,-,-,460
A=<20,B=20,C=#25,D=20,E=17
Saturday,02-June-2018,00:06,SS,6M+,PL,6.3,PV,6.3,CL,86,+0,RL,86,SA,20,DS,49
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,183,S,20,AC,57,49,10,8,36,7,6,23,5,5,0,0,0,48
,183,S,21,B,36,24,3,3,60,8,8,14,3,2,-,-,-,53
,184,S,161,A,85,33,11,9,51,16,15,27,11,9,0,0,0,52
,184,S,162,B,11,0,0,0,22,2,1,-,-,-,-,-,-,10
,183,S,183,B,36,24,3,3,60,8,8,-,-,-,-,-,-,53
,183,L,7,AC,57,49,10,8,-,-,-,-,-,-,-,-,-,300
A=<29,B=48,C=#20
Saturday,02-June-2018,00:06,SS,58M+,PL,1.3,PV,3.3,CL,86,+0,RL,69,SA,200,DS,9
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,288,S,206,A,84,18,7,6,5,2,1,19,8,7,0,0,0,33
,288,S,270,B,13,24,2,1,38,2,2,-,-,-,-,-,-,17
A=<78,B=#19
Saturday,02-June-2018,00:07,SS,10,-,PL,4.2,PV,4.2,CL,60,+0,RL,60,SA,30,DS,10
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,354,S,30,A,30,10,2,1,10,2,1,10,2,1,-,-,-,21
,354,S,31,B,23,0,0,0,44,4,4,0,0,0,-,-,-,35
,182,S,34,A,46,12,2,2,0,0,0,-,-,-,-,-,-,14
A=<47,B=53
Saturday,02-June-2018,00:08,SS,10,-,PL,4.2,PV,4.2,CL,60,+0,RL,60,SA,59,DS,130
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,354,S,30,A,37,44,4,5,43,4,5,20,3,2,-,-,-,29
,354,S,31,B,22,30,3,2,45,3,4,25,2,2,-,-,-,35
,182,S,34,A,48,10,2,1,55,6,9,-,-,-,-,-,-,31
A=<47,B=53
Saturday,02-June-2018,00:08,SS,85M+,PL,8.3,PV,8.3,CL,116,+0,RL,124,SA,310,DS,150
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,908,S,287,AC,52,-,-,-,32,7,5,9,2,1,-,-,-,39
,196,S,310,A,45,53,6,7,79,10,11,162,5,20,-,-,-,150
,196,S,311,ABE,45,17,4,3,43,6,6,65,9,10,32,5,5,55
,196,S,312,D,33,49,4,5,53,4,6,53,8,7,31,4,3,73
