Strategic,Monitor,On,Saturday,28-April-2018,filename:CCITY_20180428

Saturday,28-April-2018,00:00,SS,6M+,PL,3.3,PV,7.3,CL,86,+0,RL,86,SA,52,DS,90
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,354,S,30,A,62,30,6,6,29,7,6,37,8,7,-,-,-,23
,354,S,31,B,24,31,4,3,37,5,4,0,0,0,-,-,-,32
,182,S,34,A,27,11,2,1,11,2,1,-,-,-,-,-,-,20
,2,L,14,AD,26,34,4,3,26,4,3,-,-,-,-,-,-,1200
,2,L,15,AD,26,-,-,-,-,-,-,-,-,-,-,-,-,0
A=<53,B=47
Saturday,28-April-2018,00:06,SS,58M+,PL,1.3,PV,1.3,CL,86,+0,RL,70,SA,200,DS,27
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,288,S,206,A,86,22,8,7,5,2,1,22,9,8,0,0,0,27
,288,S,270,B,0,0,0,0,0,0,0,-,-,-,-,-,-,0
A=<80,B=#17
Saturday,28-April-2018,00:07,SS,85M+,PL,8.3,PV,8.3,CL,120,+0,RL,140,SA,310,DS,162
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,908,S,287,AC,119,-,-,-,21,11,7,21,10,7,-,-,-,28
,196,S,310,A,51,40,5,6,68,10,10,156,7,23,-,-,-,162
,196,S,311,ABE,51,82,2,16,42,8,7,42,9,8,19,4,4,63
,196,S,312,D,43,66,7,8,16,3,2,46,8,8,41,5,5,105
,197,L,71,ABF,28,81,9,8,77,10,9,-,-,-,-,-,-,640
,197,L,72,ABF,28,55,6,5,68,6,7,-,-,-,-,-,-,720
A=<22,B=20,C=#25,D=20,E=17
Saturday,28-April-2018,00:07,SS,6M+,PL,3.3,PV,4.3,CL,88,+0,RL,86,SA,20,DS,36
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,183,S,20,AC,57,18,3,3,34,7,6,36,8,8,0,0,0,42
,183,S,21,B,29,54,7,5,55,5,6,40,4,4,-,-,-,56
,184,S,161,A,86,12,4,4,20,6,6,18,7,6,0,0,0,28
,184,S,162,B,0,0,0,0,0,0,0,-,-,-,-,-,-,5
,183,S,183,B,29,54,7,5,55,5,6,-,-,-,-,-,-,56
,183,L,7,AC,57,18,3,3,-,-,-,-,-,-,-,-,-,120
A=<35,B=42,C=#20
Saturday,28-April-2018,00:07,SS,10M+,PL,4.2,PV,4.2,CL,88,+0,RL,70,SA,20,DS,36
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,354,S,30,A,64,27,8,6,22,7,5,18,5,4,-,-,-,27
,354,S,31,B,19,25,3,2,14,2,1,0,0,0,-,-,-,34
,182,S,34,A,28,25,3,2,50,7,5,-,-,-,-,-,-,31
,2,L,14,AD,43,37,5,5,58,10,11,-,-,-,-,-,-,1560
,2,L,15,AD,43,-,-,-,-,-,-,-,-,-,-,-,-,0
A=<47,B=53
Saturday,28-April-2018,00:07,SS,58M+,PL,1.3,PV,1.3,CL,88,+0,RL,70,SA,201,DS,41
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,288,S,206,A,86,26,10,9,9,3,2,21,9,8,0,0,0,26
,288,S,270,B,0,0,0,0,0,0,0,-,-,-,-,-,-,0
A=<83,B=#15
Saturday,28-April-2018,00:09,SS,85M+,PL,8.3,PV,8.3,CL,120,+0,RL,140,SA,310,DS,160
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,908,S,287,AC,90,-,-,-,47,12,12,20,4,5,-,-,-,33
,196,S,310,A,53,86,11,13,67,9,10,160,3,24,-,-,-,160
,196,S,311,ABE,53,12,3,2,52,9,8,35,7,7,16,4,3,62
