Strategic,Monitor,On,Tuesday,29-May-2018,filename:CCITY_20180529

Tuesday,29-May-2018,00:00,SS,28M+,PL,7.3,PV,7.3,CL,60,+0,RL,44,SA,47,DS,27
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,48,S,213,A,58,-,-,-,-,-,-,0,0,0,-,-,-,36
,48,L,23,A,58,0,0,0,10,3,2,-,-,-,-,-,-,120
,48,L,49,A,58,-,-,-,-,-,-,0,0,0,-,-,-,200
A=<33,B=30,C=#22
Tuesday,29-May-2018,00:04,SS,10,-,PL,3.2,PV,3.2,CL,60,+0,RL,60,SA,30,DS,10
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,354,S,30,A,41,10,2,1,10,2,1,0,0,0,-,-,-,14
,354,S,31,B,17,0,0,0,27,2,2,0,0,0,-,-,-,18
,182,S,34,A,50,0,0,0,18,3,3,-,-,-,-,-,-,19
A=<53,B=47
Tuesday,29-May-2018,00:04,SS,3M+,PL,1.3,PV,0.3,CL,86,+0,RL,69,SA,201,DS,13
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,145,S,9,AC,96,16,6,6,-,-,-,-,-,-,-,-,-,11
,145,S,10,C,15,17,2,1,0,0,0,0,0,0,-,-,-,30
,145,S,133,AB,80,10,5,4,5,2,1,-,-,-,-,-,-,13
,145,S,204,AB,80,-,-,-,-,-,-,-,-,-,-,-,-,0
,145,S,205,AB,80,10,5,4,5,2,1,-,-,-,-,-,-,13
,145,S,212,AC,96,16,6,6,-,-,-,-,-,-,-,-,-,11
,145,L,4,AB,80,10,5,4,5,2,1,-,-,-,-,-,-,240
A=<33,B=#23,C=40
Tuesday,29-May-2018,00:04,SS,23M+,PL,5.2,PV,7.3,CL,60,+0,RL,60,SA,131,DS,33
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,152,S,130,A,47,16,4,4,10,3,2,6,2,1,-,-,-,21
,152,S,131,A,47,33,6,5,7,2,1,-,-,-,-,-,-,29
,152,S,132,C,16,50,3,2,0,0,0,0,0,0,-,-,-,48
,193,L,57,ABCE,70,0,0,0,26,7,6,14,4,3,-,-,-,340
,193,L,58,AE,48,18,3,3,16,2,3,13,3,2,-,-,-,220
A=<65,B=1,C=35,D=1
Tuesday,29-May-2018,00:05,SS,28M+,PL,7.3,PV,8.2,CL,60,+0,RL,60,SA,90,DS,153
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,48,S,89,A,45,0,0,0,8,2,1,-,-,-,-,-,-,7
,48,S,90,A,45,-,-,-,-,-,-,153,4,27,-,-,-,69
,48,S,91,BC,41,71,4,10,9,2,1,-,-,-,-,-,-,39
,48,S,213,A,45,-,-,-,-,-,-,153,4,27,-,-,-,69
,48,L,23,A,45,0,0,0,8,2,1,-,-,-,-,-,-,60
,48,L,49,A,45,-,-,-,-,-,-,153,4,27,-,-,-,720
A=<33,B=30,C=#22
Tuesday,29-May-2018,00:05,SS,10,-,PL,4.2,PV,4.2,CL,60,-6,RL,60,SA,30,DS,7
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,354,S,30,A,65,6,3,1,4,2,1,7,3,1,-,-,-,10
,354,S,31,B,14,0,0,0,86,4,5,36,2,2,-,-,-,52
,182,S,34,A,50,0,0,0,18,3,3,-,-,-,-,-,-,20
A=<47,B=53
Tuesday,29-May-2018,00:05,SS,23M+,PL,1.3,PV,1.3,CL,60,-9,RL,60,SA,116,DS,156
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,152,S,130,A,36,0,0,0,0,0,0,0,0,0,-,-,-,9
,152,S,131,A,36,10,2,1,13,2,2,-,-,-,-,-,-,24
,152,S,132,C,16,0,0,0,0,0,0,0,0,0,-,-,-,28
,193,L,57,ABCE,70,0,0,0,26,7,6,14,4,3,-,-,-,320
,193,L,58,AE,48,18,3,3,16,2,3,13,3,2,-,-,-,240
A=<74,B=1,C=26,D=1
Tuesday,29-May-2018,00:06,SS,3M+,PL,4.3,PV,4.3,CL,86,+0,RL,69,SA,201,DS,24
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
