Strategic,Monitor,On,Sunday,13-May-2018,filename:CCITY_20180513

Sunday,13-May-2018,00:01,SS,6M+,PL,5.3,PV,5.3,CL,86,+0,RL,86,SA,15,DS,122
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,2,L,14,AD,41,82,4,12,35,7,6,-,-,-,-,-,-,2000
,2,L,15,AD,41,-,-,-,-,-,-,-,-,-,-,-,-,0
A=<47,B=53
Sunday,13-May-2018,00:06,SS,58M+,PL,3.3,PV,3.3,CL,86,+0,RL,69,SA,201,DS,79
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,288,S,206,A,73,31,10,9,14,4,3,24,8,7,0,0,0,33
,288,S,270,B,0,0,0,0,0,0,0,-,-,-,-,-,-,6
A=<72,B=#24
Sunday,13-May-2018,00:07,SS,85M+,PL,8.3,PV,8.3,CL,120,+0,RL,138,SA,310,DS,160
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,908,S,287,AC,79,-,-,-,0,0,0,9,3,2,-,-,-,47
,196,S,310,A,65,31,6,6,34,7,6,158,5,30,-,-,-,160
,196,S,311,ABE,65,13,3,3,37,8,7,28,7,6,5,2,1,47
,196,S,312,D,43,71,5,9,50,7,7,77,13,13,33,5,4,69
,197,L,71,ABF,56,40,8,8,31,8,7,-,-,-,-,-,-,500
,197,L,72,ABF,56,48,10,8,33,5,6,-,-,-,-,-,-,600
A=<22,B=20,C=#25,D=20,E=17
Sunday,13-May-2018,00:08,SS,6M+,PL,5.3,PV,7.3,CL,86,+0,RL,86,SA,20,DS,53
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,183,S,20,AC,55,53,8,9,40,8,7,35,6,7,9,2,2,42
,183,S,21,B,26,23,3,2,28,2,3,19,2,2,-,-,-,40
,184,S,161,A,75,29,9,7,44,13,12,21,7,6,6,2,1,33
,184,S,162,B,27,27,3,2,30,3,3,-,-,-,-,-,-,21
,183,S,183,B,26,23,3,2,28,2,3,-,-,-,-,-,-,40
,183,L,7,AC,55,53,8,9,-,-,-,-,-,-,-,-,-,280
A=<31,B=46,C=#20
Sunday,13-May-2018,00:08,SS,10M+,PL,4.2,PV,4.2,CL,86,+0,RL,69,SA,20,DS,53
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,354,S,30,A,61,10,3,2,12,4,3,10,3,2,-,-,-,14
,354,S,31,B,16,9,2,1,12,2,1,11,2,1,-,-,-,24
,182,S,34,A,21,0,0,0,40,5,3,-,-,-,-,-,-,26
,2,L,14,AD,37,20,3,3,27,5,4,-,-,-,-,-,-,1560
,2,L,15,AD,37,-,-,-,-,-,-,-,-,-,-,-,-,0
A=<47,B=53
Sunday,13-May-2018,00:08,SS,58M+,PL,1.3,PV,1.3,CL,86,+0,RL,69,SA,201,DS,14
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,288,S,206,A,85,16,6,5,0,0,0,19,8,7,0,0,0,26
,288,S,270,B,0,0,0,0,0,0,0,-,-,-,-,-,-,0
