Strategic,Monitor,On,Monday,11-June-2018,filename:CCITY_20180611

Monday,11-June-2018,00:00,SS,85M+,PL,7.3,PV,7.4,CL,100,+0,RL,90,SA,0,DS,0
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,183,S,21,B,31,0,0,0,46,5,5,14,3,1,-,-,-,39
,184,S,161,A,75,7,2,2,21,6,5,14,5,4,0,0,0,19
,184,S,162,B,0,0,0,0,0,0,0,-,-,-,-,-,-,0
,183,S,183,B,31,0,0,0,46,5,5,-,-,-,-,-,-,39
,183,L,7,AC,55,20,4,3,-,-,-,-,-,-,-,-,-,100
A=<29,B=48,C=#20
Monday,11-June-2018,00:05,SS,58M+,PL,1.3,PV,1.3,CL,86,+0,RL,69,SA,201,DS,76
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,288,S,206,A,85,10,4,3,0,0,0,14,6,5,0,0,0,17
,288,S,270,B,0,0,0,0,0,0,0,-,-,-,-,-,-,0
A=<85,B=#13
Monday,11-June-2018,00:05,SS,10,-,PL,3.2,PV,3.2,CL,60,+4,RL,60,SA,30,DS,22
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,354,S,30,A,68,18,4,4,17,4,4,22,5,5,-,-,-,16
,354,S,31,B,0,0,0,0,0,0,0,0,0,0,-,-,-,18
,182,S,34,A,70,0,0,0,10,3,2,-,-,-,-,-,-,10
A=<53,B=47
Monday,11-June-2018,00:05,SS,85M+,PL,8.3,PV,8.3,CL,100,+0,RL,91,SA,0,DS,0
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,908,S,287,AC,87,-,-,-,24,7,6,4,2,1,-,-,-,23
,196,S,310,A,46,57,5,8,36,3,5,66,5,9,-,-,-,76
,196,S,311,ABE,46,7,2,1,33,4,5,34,5,5,0,0,0,30
,196,S,312,D,25,44,3,3,33,2,3,55,4,5,0,0,0,54
,197,L,71,ABF,55,19,4,4,7,2,1,-,-,-,-,-,-,240
,197,L,72,ABF,55,59,3,11,22,2,4,-,-,-,-,-,-,320
A=<18,B=20,C=#25,D=20,E=17
Monday,11-June-2018,00:06,SS,10,-,PL,3.2,PV,4.2,CL,60,+0,RL,60,SA,30,DS,12
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,354,S,30,A,29,11,2,1,12,2,1,0,0,0,-,-,-,15
,354,S,31,B,16,0,0,0,22,2,1,0,0,0,-,-,-,15
,182,S,34,A,70,0,0,0,10,3,2,-,-,-,-,-,-,9
A=<53,B=47
Monday,11-June-2018,00:07,SS,6M+,PL,6.3,PV,6.3,CL,86,+0,RL,86,SA,20,DS,12
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,183,S,20,AC,55,12,3,2,12,3,2,10,2,2,0,0,0,16
,183,S,21,B,30,12,2,1,49,6,5,0,0,0,-,-,-,46
,184,S,161,A,85,11,4,3,13,4,4,7,3,2,0,0,0,17
,184,S,162,B,0,0,0,0,0,0,0,-,-,-,-,-,-,0
,183,S,183,B,30,12,2,1,49,6,5,-,-,-,-,-,-,46
,183,L,7,AC,55,12,3,2,-,-,-,-,-,-,-,-,-,80
A=<29,B=48,C=#20
Monday,11-June-2018,00:07,SS,58M+,PL,1.3,PV,1.3,CL,86,+0,RL,69,SA,200,DS,13
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,288,S,206,A,85,13,5,4,0,0,0,9,4,3,0,0,0,16
,288,S,270,B,0,0,0,0,0,0,0,-,-,-,-,-,-,0
A=<85,B=#13
Monday,11-June-2018,00:07,SS,85M+,PL,5.3,PV,5.3,CL,100,+0,RL,91,SA,0,DS,0
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,908,S,287,AC,103,-,-,-,20,8,6,4,2,1,-,-,-,22
,196,S,310,A,52,15,3,2,38,4,6,44,6,7,-,-,-,64
,196,S,311,ABE,52,12,2,3,50,7,9,36,7,7,14,3,3,40
,196,S,312,D,33,13,2,1,28,3,3,64,5,8,0,0,0,58
,197,L,71,ABF,52,33,7,6,28,6,6,-,-,-,-,-,-,320
,197,L,72,ABF,52,29,6,5,31,6,5,-,-,-,-,-,-,380
A=<14,B=20,C=#25,D=24,E=17
Monday,11-June-2018,00:07,SS,10,-,PL,3.2,PV,3.2,CL,60,+0,RL,60,SA,30,DS,21
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,354,S,30,A,47,21,5,3,15,4,2,0,0,0,-,-,-,18
,354,S,31,B,24,14,2,1,37,4,4,0,0,0,-,-,-,24
,182,S,34,A,74,0,0,0,0,0,0,-,-,-,-,-,-,6
A=<53,B=47
Monday,11-June-2018,00:08,SS,6M+,PL,6.3,PV,6.3,CL,86,+0,RL,86,SA,20,DS,15
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,183,S,20,AC,56,8,2,1,14,3,2,15,4,3,0,0,0,15
,183,S,21,B,24,23,3,2,22,3,2,11,2,1,-,-,-,37
,184,S,161,A,85,17,5,5,31,9,9,17,7,6,13,4,3,23
,184,S,162,B,0,0,0,0,0,0,0,-,-,-,-,-,-,0
,183,S,183,B,24,23,3,2,22,3,2,-,-,-,-,-,-,37
,183,L,7,AC,56,8,2,1,-,-,-,-,-,-,-,-,-,80
A=<29,B=48,C=#20
Monday,11-June-2018,00:08,SS,58M+,PL,1.3,PV,1.3,CL,86,+0,RL,69,SA,200,DS,12
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,288,S,206,A,85,16,6,5,9,3,2,22,9,8,0,0,0,17
,288,S,270,B,0,0,0,0,0,0,0,-,-,-,-,-,-,0
A=<85,B=#13
Monday,11-June-2018,00:08,SS,10,-,PL,1.2,PV,1.2,CL,60,+4,RL,60,SA,30,DS,19
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,354,S,30,A,63,19,6,4,15,5,3,0,0,0,-,-,-,18
,354,S,31,B,0,0,0,0,0,0,0,0,0,0,-,-,-,17
,182,S,34,A,81,0,0,0,0,0,0,-,-,-,-,-,-,2
A=<64,B=36
Monday,11-June-2018,00:09,SS,85M+,PL,5.3,PV,5.3,CL,100,+0,RL,89,SA,0,DS,0
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,908,S,287,AC,84,-,-,-,24,7,6,0,0,0,-,-,-,23
,196,S,310,A,67,43,6,8,16,3,3,38,7,7,-,-,-,48
,196,S,311,ABE,67,11,3,3,20,3,4,11,3,3,0,0,0,33
,196,S,312,D,34,30,3,3,34,4,4,54,8,7,11,2,1,58
