Strategic,Monitor,On,Sunday,03-June-2018,filename:CCITY_20180603

Sunday,03-June-2018,00:00,SS,6M+,PL,3.3,PV,6.3,CL,86,+0,RL,86,SA,20,DS,25
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,184,S,161,A,85,11,4,3,26,9,8,25,10,9,6,2,2,31
,184,S,162,B,0,0,0,0,0,0,0,-,-,-,-,-,-,0
,183,S,183,B,26,24,3,2,46,4,4,-,-,-,-,-,-,53
,183,L,7,AC,38,18,2,2,-,-,-,-,-,-,-,-,-,220
A=<29,B=48,C=#20
Sunday,03-June-2018,00:06,SS,58M+,PL,3.3,PV,3.3,CL,86,+0,RL,69,SA,0,DS,0
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,288,S,206,A,85,21,8,7,0,0,0,14,6,5,0,0,0,27
,288,S,270,B,0,0,0,0,0,0,0,-,-,-,-,-,-,15
A=<72,B=#24
Sunday,03-June-2018,00:06,SS,10,-,PL,4.2,PV,4.2,CL,60,+0,RL,60,SA,30,DS,29
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,354,S,30,A,46,29,6,4,22,5,3,13,3,2,-,-,-,35
,354,S,31,B,18,28,2,2,16,2,1,0,0,0,-,-,-,26
,182,S,34,A,38,37,5,4,55,7,7,-,-,-,-,-,-,58
A=<47,B=53
Sunday,03-June-2018,00:07,SS,85M+,PL,8.3,PV,8.3,CL,120,+0,RL,140,SA,310,DS,155
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,908,S,287,AC,74,-,-,-,31,7,7,6,2,1,-,-,-,35
,196,S,310,A,53,89,12,13,48,4,8,152,9,22,-,-,-,155
,196,S,311,ABE,53,30,5,6,57,9,10,42,8,7,19,3,4,48
,196,S,312,D,43,71,7,9,63,8,9,87,12,14,14,3,2,92
,197,L,71,ABF,36,52,6,6,63,10,9,-,-,-,-,-,-,480
,197,L,72,ABF,36,59,7,7,40,4,4,-,-,-,-,-,-,380
A=<22,B=20,C=#25,D=20,E=17
Sunday,03-June-2018,00:07,SS,6M+,PL,6.3,PV,6.3,CL,86,+0,RL,86,SA,20,DS,24
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,183,S,20,AC,38,18,2,2,20,2,2,24,5,4,0,0,0,30
,183,S,21,B,26,24,3,2,46,4,4,0,0,0,-,-,-,49
