Strategic,Monitor,On,Wednesday,02-May-2018,filename:CCITY_20180502

Wednesday,02-May-2018,00:00,SS,28M+,PL,7.2,PV,7.2,CL,70-17,RL,61,SA,47,DS,56
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
Wednesday,02-May-2018,00:04,SS,3M+,PL,6.3,PV,18.3,CL,86,+0,RL,69,SA,201,DS,19
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,145,S,9,AC,105,16,6,6,-,-,-,-,-,-,-,-,-,10
,145,S,10,C,17,35,3,2,0,0,0,0,0,0,-,-,-,19
,145,S,133,AB,87,10,5,4,5,2,1,-,-,-,-,-,-,13
,145,S,204,AB,87,-,-,-,-,-,-,-,-,-,-,-,-,0
,145,S,205,AB,87,10,5,4,5,2,1,-,-,-,-,-,-,13
,145,S,212,AC,105,16,6,6,-,-,-,-,-,-,-,-,-,10
,145,L,4,AB,87,10,5,4,5,2,1,-,-,-,-,-,-,240
A=<47,B=#23,C=26
Wednesday,02-May-2018,00:04,SS,10M+,PL,4.2,PV,4.2,CL,86,+0,RL,69,SA,20,DS,25
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,354,S,30,A,66,22,7,5,12,4,3,13,4,3,-,-,-,22
,354,S,31,B,16,0,0,0,19,2,1,0,0,0,-,-,-,28
,182,S,34,A,28,0,0,0,0,0,0,-,-,-,-,-,-,8
,2,L,14,AD,54,21,5,4,20,5,5,-,-,-,-,-,-,860
,2,L,15,AD,54,-,-,-,-,-,-,-,-,-,-,-,-,0
A=<47,B=53
Wednesday,02-May-2018,00:04,SS,28M+,PL,4.2,PV,4.3,CL,60,+0,RL,58,SA,47,DS,42
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,48,S,89,A,62,0,0,0,11,2,2,-,-,-,-,-,-,14
,48,S,90,A,62,-,-,-,-,-,-,0,0,0,-,-,-,32
,48,S,91,BC,24,34,4,3,15,2,1,-,-,-,-,-,-,31
,48,S,213,A,62,-,-,-,-,-,-,0,0,0,-,-,-,32
,48,L,23,A,62,0,0,0,11,2,2,-,-,-,-,-,-,100
,48,L,49,A,62,-,-,-,-,-,-,0,0,0,-,-,-,360
A=<27,B=36,C=#22
Wednesday,02-May-2018,00:05,SS,23M+,PL,4.2,PV,6.2,CL,86,+0,RL,86,SA,130,DS,37
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,152,S,130,A,100,35,20,17,37,18,16,12,6,5,-,-,-,33
,152,S,131,A,100,12,5,4,9,4,3,-,-,-,-,-,-,14
,152,S,132,C,29,13,2,1,48,6,6,9,2,1,-,-,-,43
,193,L,57,ABCE,69,8,3,2,29,8,7,25,7,6,-,-,-,480
,193,L,58,AE,47,8,2,1,27,4,5,9,2,2,-,-,-,320
A=<66,B=1,C=34,D=1
Wednesday,02-May-2018,00:05,SS,28M+,PL,4.2,PV,3.3,CL,60,+0,RL,47,SA,47,DS,78
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,48,S,89,A,40,0,0,0,13,2,2,-,-,-,-,-,-,14
,48,S,90,A,40,-,-,-,-,-,-,0,0,0,-,-,-,0
,48,S,91,BC,27,8,2,1,37,6,3,-,-,-,-,-,-,33
,48,S,213,A,40,-,-,-,-,-,-,0,0,0,-,-,-,0
,48,L,23,A,40,0,0,0,13,2,2,-,-,-,-,-,-,100
,48,L,49,A,40,-,-,-,-,-,-,0,0,0,-,-,-,0
A=<27,B=36,C=#22
Wednesday,02-May-2018,00:05,SS,3M+,PL,5.3,PV,5.3,CL,86,+0,RL,69,SA,200,DS,6
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,145,S,9,AC,88,0,0,0,-,-,-,-,-,-,-,-,-,7
,145,S,10,C,22,70,6,6,0,0,0,0,0,0,-,-,-,43
,145,S,133,AB,67,18,7,5,10,3,2,-,-,-,-,-,-,15
,145,S,204,AB,67,-,-,-,-,-,-,-,-,-,-,-,-,0
,145,S,205,AB,67,18,7,5,10,3,2,-,-,-,-,-,-,15
,145,S,212,AC,88,0,0,0,-,-,-,-,-,-,-,-,-,7
,145,L,4,AB,67,18,7,5,10,3,2,-,-,-,-,-,-,260
A=<44,B=#23,C=29
Wednesday,02-May-2018,00:05,SS,10M+,PL,4.2,PV,1.2,CL,86,+0,RL,69,SA,20,DS,37
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,354,S,30,A,67,14,5,3,12,4,3,10,3,2,-,-,-,18
,354,S,31,B,14,9,2,0,10,2,1,0,0,0,-,-,-,17
,182,S,34,A,12,0,0,0,0,0,0,-,-,-,-,-,-,1
,2,L,14,AD,92,19,6,6,16,6,7,-,-,-,-,-,-,1100
,2,L,15,AD,92,-,-,-,-,-,-,-,-,-,-,-,-,0
A=<47,B=53
Wednesday,02-May-2018,00:06,SS,28M+,PL,8.2,PV,8.2,CL,60,+0,RL,61,SA,90,DS,163
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,48,S,89,A,22,37,3,3,21,2,2,-,-,-,-,-,-,23
,48,S,90,A,22,-,-,-,-,-,-,163,2,15,-,-,-,73
,48,S,91,BC,21,0,0,0,0,0,0,-,-,-,-,-,-,20
,48,S,213,A,22,-,-,-,-,-,-,163,2,15,-,-,-,73
,48,L,23,A,22,37,3,3,21,2,2,-,-,-,-,-,-,200
,48,L,49,A,22,-,-,-,-,-,-,163,2,15,-,-,-,400
A=<35,B=28,C=#22
Wednesday,02-May-2018,00:06,SS,23M+,PL,4.2,PV,4.2,CL,76,+2,RL,76,SA,130,DS,27
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,152,S,130,A,56,25,9,7,26,9,6,27,7,7,-,-,-,33
,152,S,131,A,56,22,6,4,10,3,2,-,-,-,-,-,-,17
,152,S,132,C,19,32,2,2,25,2,2,0,0,0,-,-,-,41
,193,L,57,ABCE,69,8,3,2,29,8,7,25,7,6,-,-,-,520
,193,L,58,AE,47,8,2,1,27,4,5,9,2,2,-,-,-,320
A=<66,B=1,C=34,D=1
Wednesday,02-May-2018,00:07,SS,3M+,PL,7.3,PV,7.3,CL,86,+0,RL,69,SA,201,DS,15
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,145,S,9,AC,76,22,6,6,-,-,-,-,-,-,-,-,-,13
,145,S,10,C,13,0,0,0,0,0,0,0,0,0,-,-,-,31
,145,S,133,AB,64,5,2,1,7,2,2,-,-,-,-,-,-,11
,145,S,204,AB,64,-,-,-,-,-,-,-,-,-,-,-,-,0
,145,S,205,AB,64,5,2,1,7,2,2,-,-,-,-,-,-,11
,145,S,212,AC,76,22,6,6,-,-,-,-,-,-,-,-,-,13
,145,L,4,AB,64,5,2,1,7,2,2,-,-,-,-,-,-,200
A=<51,B=#23,C=22
Wednesday,02-May-2018,00:07,SS,10M+,PL,2.2,PV,2.2,CL,86,+0,RL,69,SA,20,DS,27
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,354,S,30,A,72,7,3,2,7,3,2,10,3,2,-,-,-,14
,354,S,31,B,16,15,2,1,14,2,1,0,0,0,-,-,-,12
,182,S,34,A,21,0,0,0,0,0,0,-,-,-,-,-,-,0
,2,L,14,AD,33,0,0,0,26,5,4,-,-,-,-,-,-,800
,2,L,15,AD,33,-,-,-,-,-,-,-,-,-,-,-,-,0
A=<60,B=40
Wednesday,02-May-2018,00:07,SS,28M+,PL,8.2,PV,2.3,CL,60,+0,RL,60,SA,51,DS,98
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,48,S,89,A,39,15,3,2,10,2,1,-,-,-,-,-,-,22
,48,S,90,A,39,-,-,-,-,-,-,0,0,0,-,-,-,54
,48,S,91,BC,40,73,4,10,18,3,2,-,-,-,-,-,-,41
,48,S,213,A,39,-,-,-,-,-,-,0,0,0,-,-,-,54
,48,L,23,A,39,15,3,2,10,2,1,-,-,-,-,-,-,200
,48,L,49,A,39,-,-,-,-,-,-,0,0,0,-,-,-,300
A=<35,B=28,C=#22
Wednesday,02-May-2018,00:07,SS,23M+,PL,4.2,PV,4.2,CL,66,+0,RL,66,SA,130,DS,27
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,152,S,130,A,56,25,9,7,26,9,6,27,7,7,-,-,-,29
,152,S,131,A,56,22,6,4,10,3,2,-,-,-,-,-,-,20
,152,S,132,C,19,32,2,2,25,2,2,0,0,0,-,-,-,36
,193,L,57,ABCE,42,0,0,0,23,4,3,13,2,2,-,-,-,400
,193,L,58,AE,20,0,0,0,40,2,3,59,3,4,-,-,-,300
A=<66,B=1,C=34,D=1
Wednesday,02-May-2018,00:08,SS,28M+,PL,8.3,PV,8.3,CL,60-18,RL,60,SA,47,DS,35
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,48,S,89,A,26,0,0,0,29,3,3,-,-,-,-,-,-,26
,48,S,90,A,26,-,-,-,-,-,-,0,0,0,-,-,-,36
,48,S,91,BC,24,36,5,3,17,3,1,-,-,-,-,-,-,40
,48,S,213,A,26,-,-,-,-,-,-,0,0,0,-,-,-,36
,48,L,23,A,26,0,0,0,29,3,3,-,-,-,-,-,-,200
,48,L,49,A,26,-,-,-,-,-,-,0,0,0,-,-,-,200
A=<35,B=28,C=#22
Wednesday,02-May-2018,00:08,SS,3M+,PL,5.3,PV,5.3,CL,86,+0,RL,69,SA,0,DS,0
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,145,S,9,AC,82,6,2,2,-,-,-,-,-,-,-,-,-,10
,145,S,10,C,13,0,0,0,36,3,2,0,0,0,-,-,-,32
,145,S,133,AB,70,14,6,4,7,2,2,-,-,-,-,-,-,13
,145,S,204,AB,70,-,-,-,-,-,-,-,-,-,-,-,-,0
,145,S,205,AB,70,14,6,4,7,2,2,-,-,-,-,-,-,13
,145,S,212,AC,82,6,2,2,-,-,-,-,-,-,-,-,-,10
,145,L,4,AB,70,14,6,4,7,2,2,-,-,-,-,-,-,200
A=<44,B=#23,C=29
Wednesday,02-May-2018,00:08,SS,10M+,PL,2.2,PV,3.2,CL,86,+0,RL,69,SA,20,DS,27
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,354,S,30,A,70,17,6,4,16,6,4,0,0,0,-,-,-,14
,354,S,31,B,16,15,2,1,14,2,1,0,0,0,-,-,-,12
,182,S,34,A,11,0,0,0,0,0,0,-,-,-,-,-,-,0
,2,L,14,AD,60,8,2,2,9,3,2,-,-,-,-,-,-,600
,2,L,15,AD,60,-,-,-,-,-,-,-,-,-,-,-,-,0
A=<60,B=40
Wednesday,02-May-2018,00:09,SS,23M+,PL,5.2,PV,5.3,CL,60,+3,RL,60,SA,130,DS,27
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,152,S,130,A,44,27,7,6,26,6,5,15,3,3,-,-,-,27
,152,S,131,A,44,13,2,2,0,0,0,-,-,-,-,-,-,18
,152,S,132,C,17,25,2,1,0,0,0,0,0,0,-,-,-,29
,193,L,57,ABCE,46,0,0,0,15,3,2,24,4,4,-,-,-,340
,193,L,58,AE,24,34,3,2,36,3,3,22,2,2,-,-,-,340
A=<65,B=1,C=35,D=1
Wednesday,02-May-2018,00:09,SS,28M+,PL,6.3,PV,6.3,CL,60,+0,RL,60,SA,50,DS,152
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,48,S,89,A,35,0,0,0,19,2,2,-,-,-,-,-,-,21
,48,S,90,A,35,-,-,-,-,-,-,0,0,0,-,-,-,0
,48,S,91,BC,36,41,2,5,0,0,0,-,-,-,-,-,-,46
,48,S,213,A,35,-,-,-,-,-,-,0,0,0,-,-,-,0
,48,L,23,A,35,0,0,0,19,2,2,-,-,-,-,-,-,160
,48,L,49,A,35,-,-,-,-,-,-,0,0,0,-,-,-,0
A=<31,B=32,C=#22
Wednesday,02-May-2018,00:10,SS,23M+,PL,5.2,PV,2.3,CL,60,+0,RL,60,SA,130,DS,27
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,152,S,130,A,44,27,7,6,26,6,5,15,3,3,-,-,-,27
,152,S,131,A,44,13,2,2,0,0,0,-,-,-,-,-,-,15
,152,S,132,C,17,25,2,1,0,0,0,0,0,0,-,-,-,27
,193,L,57,ABCE,36,16,2,2,43,5,5,40,5,5,-,-,-,480
,193,L,58,AE,36,25,3,3,38,4,5,36,4,5,-,-,-,540
A=<65,B=1,C=35,D=1
Wednesday,02-May-2018,00:10,SS,3M+,PL,5.3,PV,0.3,CL,86,+0,RL,69,SA,201,DS,48
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,145,S,9,AC,94,10,4,3,-,-,-,-,-,-,-,-,-,11
,145,S,10,C,16,30,3,2,0,0,0,27,2,1,-,-,-,25
,145,S,133,AB,79,7,3,3,0,0,0,-,-,-,-,-,-,9
,145,S,204,AB,79,-,-,-,-,-,-,-,-,-,-,-,-,0
,145,S,205,AB,79,7,3,3,0,0,0,-,-,-,-,-,-,9
,145,S,212,AC,94,10,4,3,-,-,-,-,-,-,-,-,-,11
,145,L,4,AB,79,7,3,3,0,0,0,-,-,-,-,-,-,160
A=<44,B=#23,C=29
Wednesday,02-May-2018,00:10,SS,10M+,PL,4.2,PV,4.2,CL,86,+0,RL,69,SA,20,DS,25
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,354,S,30,A,70,17,6,4,16,6,4,0,0,0,-,-,-,15
,354,S,31,B,16,0,0,0,20,2,1,0,0,0,-,-,-,16
,182,S,34,A,14,0,0,0,12,3,1,-,-,-,-,-,-,5
,2,L,14,AD,88,24,6,7,32,13,12,-,-,-,-,-,-,1100
,2,L,15,AD,88,-,-,-,-,-,-,-,-,-,-,-,-,0
A=<47,B=53
