Strategic,Monitor,On,Wednesday,13-June-2018,filename:CCITY_20180613

Wednesday,13-June-2018,00:00,SS,85M+,PL,5.3,PV,5.3,CL,100,+0,RL,90,SA,0,DS,0
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,183,S,20,AC,82,11,4,3,25,8,7,12,5,4,0,0,0,22
,183,S,21,B,33,27,4,3,76,10,9,22,3,2,-,-,-,56
,184,S,161,A,42,18,3,2,44,7,6,32,7,5,12,2,2,31
,184,S,162,B,0,0,0,0,0,0,0,-,-,-,-,-,-,0
,183,S,183,B,33,27,4,3,76,10,9,-,-,-,-,-,-,56
,183,L,7,AC,82,11,4,3,-,-,-,-,-,-,-,-,-,100
A=<33,B=44,C=#20
Wednesday,13-June-2018,00:05,SS,58M+,PL,4.3,PV,4.3,CL,86,+0,RL,76,SA,201,DS,49
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,288,S,206,A,99,17,7,6,0,0,0,15,7,7,0,0,0,16
,288,S,270,B,11,33,2,1,0,0,0,-,-,-,-,-,-,31
A=<65,B=#30
Wednesday,13-June-2018,00:05,SS,10,-,PL,4.2,PV,4.2,CL,60,+0,RL,60,SA,30,DS,18
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,354,S,30,A,39,18,4,2,14,3,2,0,0,0,-,-,-,13
,354,S,31,B,17,0,0,0,27,3,2,0,0,0,-,-,-,25
,182,S,34,A,48,0,0,0,10,2,2,-,-,-,-,-,-,16
A=<47,B=53
Wednesday,13-June-2018,00:06,SS,6M+,PL,6.3,PV,6.3,CL,86,+1,RL,86,SA,20,DS,19
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,183,S,20,AC,54,18,4,3,13,2,2,19,3,4,7,2,1,21
,183,S,21,B,28,32,4,3,23,3,2,23,3,2,-,-,-,50
,184,S,161,A,92,12,4,4,18,6,6,14,6,5,6,2,2,27
,184,S,162,B,11,0,0,0,0,0,0,-,-,-,-,-,-,0
,183,S,183,B,28,32,4,3,23,3,2,-,-,-,-,-,-,50
,183,L,7,AC,54,18,4,3,-,-,-,-,-,-,-,-,-,100
A=<29,B=48,C=#20
Wednesday,13-June-2018,00:06,SS,58M+,PL,2.3,PV,2.3,CL,86,+0,RL,74,SA,0,DS,0
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,288,S,206,A,75,17,6,5,9,3,2,17,7,6,0,0,0,16
