Strategic,Monitor,On,Wednesday,16-May-2018,filename:CCITY_20180516

Wednesday,16-May-2018,00:00,SS,28M+,PL,8.3,PV,8.2,CL,60,+0,RL,60,SA,51,DS,128
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,145,S,212,AC,74,24,6,7,-,-,-,-,-,-,-,-,-,17
,145,L,4,AB,55,13,4,3,17,4,3,-,-,-,-,-,-,260
A=<33,B=#23,C=40
Wednesday,16-May-2018,00:05,SS,10M+,PL,3.2,PV,3.2,CL,86,+0,RL,69,SA,20,DS,33
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,354,S,30,A,72,18,7,4,18,7,4,11,4,2,-,-,-,17
,354,S,31,B,0,0,0,0,0,0,0,0,0,0,-,-,-,3
,182,S,34,A,69,0,0,0,9,3,2,-,-,-,-,-,-,7
,2,L,14,AD,62,0,0,0,8,3,2,-,-,-,-,-,-,660
,2,L,15,AD,62,-,-,-,-,-,-,-,-,-,-,-,-,0
A=<53,B=47
Wednesday,16-May-2018,00:05,SS,28M+,PL,2.2,PV,2.3,CL,60,+0,RL,50,SA,51,DS,97
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,48,S,89,A,11,0,0,0,0,0,0,-,-,-,-,-,-,28
,48,S,90,A,11,-,-,-,-,-,-,0,0,0,-,-,-,7
,48,S,91,BC,0,0,0,0,0,0,0,-,-,-,-,-,-,24
,48,S,213,A,11,-,-,-,-,-,-,0,0,0,-,-,-,7
,48,L,23,A,11,0,0,0,0,0,0,-,-,-,-,-,-,80
,48,L,49,A,11,-,-,-,-,-,-,0,0,0,-,-,-,80
A=<19,B=44,C=#22
Wednesday,16-May-2018,00:05,SS,23M+,PL,2.3,PV,2.2,CL,60,+0,RL,60,SA,131,DS,62
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,152,S,130,A,32,0,0,0,29,6,4,20,3,3,-,-,-,42
,152,S,131,A,32,62,4,7,30,4,4,-,-,-,-,-,-,47
,152,S,132,C,21,26,2,2,0,0,0,0,0,0,-,-,-,43
,193,L,57,ABCE,60,6,2,1,17,4,4,22,5,5,-,-,-,440
,193,L,58,AE,38,18,2,2,17,3,2,23,3,3,-,-,-,300
A=<71,B=1,C=29,D=1
Wednesday,16-May-2018,00:06,SS,28M+,PL,7.3,PV,7.3,CL,60-11,RL,44,SA,47,DS,23
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,48,S,89,A,62,0,0,0,20,6,4,-,-,-,-,-,-,13
,48,S,90,A,62,-,-,-,-,-,-,9,3,2,-,-,-,9
,48,S,91,BC,19,17,3,1,19,3,1,-,-,-,-,-,-,24
,48,S,213,A,62,-,-,-,-,-,-,9,3,2,-,-,-,9
,48,L,23,A,62,0,0,0,20,6,4,-,-,-,-,-,-,140
