Strategic,Monitor,On,Wednesday,18-April-2018,filename:CCITY_20180418

Wednesday,18-April-2018,00:00,SS,28M+,PL,7.3,PV,7.2,CL,60,+0,RL,60,SA,50,DS,138
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,48,S,89,A,67,0,0,0,8,3,2,-,-,-,-,-,-,21
,48,S,90,A,67,-,-,-,-,-,-,0,0,0,-,-,-,50
,48,S,91,BC,19,22,3,1,0,0,0,-,-,-,-,-,-,17
,48,S,213,A,67,-,-,-,-,-,-,0,0,0,-,-,-,50
,48,L,23,A,67,0,0,0,8,3,2,-,-,-,-,-,-,240
,48,L,49,A,67,-,-,-,-,-,-,0,0,0,-,-,-,540
A=<36,B=30,C=#22
Wednesday,18-April-2018,00:06,SS,23,-,PL,4.3,PV,1.3,CL,60,-7,RL,60,SA,131,DS,16
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,152,S,130,A,41,10,3,2,12,3,2,6,2,1,-,-,-,29
,152,S,131,A,41,16,3,2,16,3,2,-,-,-,-,-,-,19
,152,S,132,C,22,0,0,0,14,2,1,14,2,1,-,-,-,29
,193,L,57,ABCE,47,0,0,0,27,5,4,0,0,0,-,-,-,160
,193,L,58,AE,25,17,2,1,56,4,5,29,2,3,-,-,-,280
A=<66,B=1,C=34,D=1
Wednesday,18-April-2018,00:06,SS,23,+,PL,1.3,PV,1.4,CL,60,-6,RL,60,SA,131,DS,16
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,152,S,130,A,41,10,3,2,12,3,2,6,2,1,-,-,-,18
,152,S,131,A,41,16,3,2,16,3,2,-,-,-,-,-,-,18
,152,S,132,C,22,0,0,0,14,2,1,14,2,1,-,-,-,19
,193,L,57,ABCE,47,0,0,0,27,5,4,0,0,0,-,-,-,200
,193,L,58,AE,25,17,2,1,56,4,5,29,2,3,-,-,-,420
A=<74,B=1,C=26,D=1
Wednesday,18-April-2018,00:07,SS,3M+,PL,5.3,PV,0.3,CL,86,+0,RL,74,SA,0,DS,0
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,145,S,9,AC,96,8,3,3,-,-,-,-,-,-,-,-,-,10
,145,S,10,C,13,0,0,0,0,0,0,0,0,0,-,-,-,5
,145,S,133,AB,84,9,4,3,10,4,3,-,-,-,-,-,-,16
,145,S,204,AB,84,-,-,-,-,-,-,-,-,-,-,-,-,0
,145,S,205,AB,84,9,4,3,10,4,3,-,-,-,-,-,-,16
,145,S,212,AC,96,8,3,3,-,-,-,-,-,-,-,-,-,10
,145,L,4,AB,84,9,4,3,10,4,3,-,-,-,-,-,-,280
A=<44,B=#23,C=29
Wednesday,18-April-2018,00:07,SS,10M+,PL,4.2,PV,3.2,CL,86,+0,RL,74,SA,20,DS,15
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,354,S,30,A,66,18,5,4,14,4,3,17,5,3,-,-,-,13
,354,S,31,B,19,7,2,0,25,4,2,8,2,1,-,-,-,23
,182,S,34,A,11,0,0,0,0,0,0,-,-,-,-,-,-,7
,2,L,14,AD,63,21,4,4,19,5,5,-,-,-,-,-,-,760
,2,L,15,AD,63,-,-,-,-,-,-,-,-,-,-,-,-,0
A=<47,B=53
Wednesday,18-April-2018,00:07,SS,23,-,PL,1.3,PV,5.3,CL,60,+0,RL,60,SA,130,DS,26
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,152,S,130,A,40,23,6,4,26,5,5,22,3,4,-,-,-,18
,152,S,131,A,40,17,3,2,16,3,2,-,-,-,-,-,-,16
,152,S,132,C,17,40,2,2,0,0,0,19,2,1,-,-,-,26
,193,L,57,ABCE,41,0,0,0,16,3,2,0,0,0,-,-,-,160
,193,L,58,AE,19,0,0,0,0,0,0,0,0,0,-,-,-,260
A=<74,B=1,C=26,D=1
Wednesday,18-April-2018,00:07,SS,28M+,PL,7.2,PV,8.2,CL,66,+0,RL,74,SA,90,DS,156
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,48,S,89,A,49,27,4,5,8,2,1,-,-,-,-,-,-,23
,48,S,90,A,49,-,-,-,-,-,-,156,2,32,-,-,-,103
,48,S,91,BC,14,0,0,0,0,0,0,-,-,-,-,-,-,7
,48,S,213,A,49,-,-,-,-,-,-,156,2,32,-,-,-,103
,48,L,23,A,49,27,4,5,8,2,1,-,-,-,-,-,-,280
,48,L,49,A,49,-,-,-,-,-,-,156,2,32,-,-,-,1180
A=<37,B=30,C=#22
Wednesday,18-April-2018,00:08,SS,28M+,PL,8.2,PV,8.2,CL,75,-3,RL,77,SA,90,DS,155
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,48,S,89,A,49,16,3,3,35,6,6,-,-,-,-,-,-,26
,48,S,90,A,49,-,-,-,-,-,-,155,5,32,-,-,-,121
,48,S,91,BC,0,0,0,0,0,0,0,-,-,-,-,-,-,5
,48,S,213,A,49,-,-,-,-,-,-,155,5,32,-,-,-,121
,48,L,23,A,49,16,3,3,35,6,6,-,-,-,-,-,-,340
,48,L,49,A,49,-,-,-,-,-,-,155,5,32,-,-,-,1380
A=<43,B=28,C=#22
Wednesday,18-April-2018,00:08,SS,3M+,PL,1.3,PV,1.3,CL,86,+0,RL,71,SA,200,DS,16
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,145,S,9,AC,85,5,2,2,-,-,-,-,-,-,-,-,-,7
,145,S,10,C,15,20,2,1,12,2,1,0,0,0,-,-,-,9
,145,S,133,AB,71,4,2,1,9,3,2,-,-,-,-,-,-,11
,145,S,204,AB,71,-,-,-,-,-,-,-,-,-,-,-,-,0
,145,S,205,AB,71,4,2,1,9,3,2,-,-,-,-,-,-,11
,145,S,212,AC,85,5,2,2,-,-,-,-,-,-,-,-,-,7
,145,L,4,AB,71,4,2,1,9,3,2,-,-,-,-,-,-,180
A=<33,B=#23,C=40
Wednesday,18-April-2018,00:08,SS,10M+,PL,1.2,PV,1.2,CL,86,+0,RL,71,SA,20,DS,15
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,354,S,30,A,67,5,2,1,5,2,1,6,2,1,-,-,-,11
,354,S,31,B,13,0,0,0,0,0,0,0,0,0,-,-,-,13
,182,S,34,A,39,0,0,0,0,0,0,-,-,-,-,-,-,2
,2,L,14,AD,17,0,0,0,0,0,0,-,-,-,-,-,-,460
,2,L,15,AD,17,-,-,-,-,-,-,-,-,-,-,-,-,0
A=<64,B=36
Wednesday,18-April-2018,00:09,SS,23M+,PL,5.3,PV,7.2,CL,60+16,RL,60,SA,130,DS,40
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,152,S,130,A,37,32,7,6,40,7,7,30,5,5,-,-,-,37
,152,S,131,A,37,17,3,2,15,3,2,-,-,-,-,-,-,17
,152,S,132,C,17,58,3,3,0,0,0,0,0,0,-,-,-,54
,193,L,57,ABCE,58,6,2,1,57,11,11,84,2,17,-,-,-,840
,193,L,58,AE,36,0,0,0,34,4,5,17,3,2,-,-,-,180
A=<65,B=1,C=35,D=1
Wednesday,18-April-2018,00:10,SS,23M+,PL,1.3,PV,1.2,CL,60+16,RL,60,SA,130,DS,55
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,152,S,130,A,47,52,14,12,55,11,12,28,5,6,-,-,-,47
,152,S,131,A,47,15,3,2,11,3,2,-,-,-,-,-,-,16
,152,S,132,C,18,33,3,2,23,3,2,20,2,1,-,-,-,47
,193,L,57,ABCE,58,6,2,1,57,11,11,84,2,17,-,-,-,1380
,193,L,58,AE,36,0,0,0,34,4,5,17,3,2,-,-,-,320
A=<74,B=1,C=26,D=1
Wednesday,18-April-2018,00:10,SS,28M+,PL,8.2,PV,2.2,CL,73,+0,RL,73,SA,47,DS,21
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,48,S,89,A,64,0,0,0,6,2,1,-,-,-,-,-,-,20
,48,S,90,A,64,-,-,-,-,-,-,0,0,0,-,-,-,85
,48,S,91,BC,43,81,5,12,0,0,0,-,-,-,-,-,-,36
,48,S,213,A,64,-,-,-,-,-,-,0,0,0,-,-,-,85
,48,L,23,A,64,0,0,0,6,2,1,-,-,-,-,-,-,240
,48,L,49,A,64,-,-,-,-,-,-,0,0,0,-,-,-,980
A=<42,B=28,C=#22
Wednesday,18-April-2018,00:10,SS,3M+,PL,8.3,PV,8.3,CL,86,+0,RL,69,SA,0,DS,0
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,145,S,9,AC,84,10,3,3,-,-,-,-,-,-,-,-,-,8
,145,S,10,C,14,0,0,0,0,0,0,0,0,0,-,-,-,7
,145,S,133,AB,71,10,4,3,6,2,1,-,-,-,-,-,-,10
,145,S,204,AB,71,-,-,-,-,-,-,-,-,-,-,-,-,0
,145,S,205,AB,71,10,4,3,6,2,1,-,-,-,-,-,-,10
