Strategic,Monitor,On,Friday,11-May-2018,filename:CCITY_20180511

Friday,11-May-2018,00:00,SS,6M+,PL,8.3,PV,8.3,CL,94,-3,RL,86,SA,20,DS,18
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
Friday,11-May-2018,00:08,SS,6M+,PL,4.3,PV,4.3,CL,86,+0,RL,86,SA,20,DS,46
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,183,S,20,AC,52,28,5,5,46,7,8,24,6,5,0,0,0,40
,183,S,21,B,33,24,3,3,0,0,0,29,4,3,-,-,-,19
,184,S,161,A,85,17,6,5,22,7,7,13,5,4,0,0,0,28
,184,S,162,B,0,0,0,0,0,0,0,-,-,-,-,-,-,0
,183,S,183,B,33,24,3,3,0,0,0,-,-,-,-,-,-,15
,183,L,7,AC,52,28,5,5,-,-,-,-,-,-,-,-,-,180
A=<33,B=44,C=#20
Friday,11-May-2018,00:08,SS,10M+,PL,1.2,PV,1.2,CL,86,+0,RL,69,SA,20,DS,46
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,354,S,30,A,67,11,4,2,16,6,4,16,4,3,-,-,-,18
,354,S,31,B,0,0,0,0,0,0,0,0,0,0,-,-,-,0
,182,S,34,A,21,0,0,0,0,0,0,-,-,-,-,-,-,4
,2,L,14,AD,71,62,8,15,46,13,14,-,-,-,-,-,-,1800
,2,L,15,AD,71,-,-,-,-,-,-,-,-,-,-,-,-,0
A=<64,B=36
Friday,11-May-2018,00:08,SS,58M+,PL,1.3,PV,1.3,CL,86,+0,RL,69,SA,200,DS,6
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,288,S,206,A,84,17,7,5,0,0,0,11,5,4,0,0,0,17
,288,S,270,B,11,0,0,0,0,0,0,-,-,-,-,-,-,0
A=<76,B=#21
Friday,11-May-2018,00:08,SS,85M+,PL,4.3,PV,3.3,CL,102,+0,RL,96,SA,0,DS,0
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,908,S,287,AC,92,-,-,-,15,6,4,9,3,2,-,-,-,22
,196,S,310,A,51,15,3,2,35,6,5,59,8,9,-,-,-,56
,196,S,311,ABE,51,10,2,2,29,5,5,20,4,3,15,3,3,35
,196,S,312,D,37,21,3,2,17,3,2,82,9,12,33,4,3,62
,197,L,71,ABF,44,30,6,5,34,8,6,-,-,-,-,-,-,340
,197,L,72,ABF,44,32,4,4,37,5,5,-,-,-,-,-,-,360
A=<12,B=20,C=#25,D=25,E=18
Friday,11-May-2018,00:09,SS,6M+,PL,4.3,PV,5.3,CL,86,+0,RL,86,SA,20,DS,33
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,183,S,20,AC,53,26,4,4,33,7,6,14,4,3,0,0,0,36
,183,S,21,B,31,10,2,1,0,0,0,18,2,2,-,-,-,20
,184,S,161,A,85,15,5,4,29,10,9,24,10,8,11,4,3,26
,184,S,162,B,0,0,0,0,0,0,0,-,-,-,-,-,-,0
,183,S,183,B,31,10,2,1,0,0,0,-,-,-,-,-,-,15
,183,L,7,AC,53,26,4,4,-,-,-,-,-,-,-,-,-,160
A=<33,B=44,C=#20
Friday,11-May-2018,00:09,SS,10M+,PL,1.2,PV,3.2,CL,86,+0,RL,69,SA,20,DS,33
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,354,S,30,A,84,19,9,5,19,9,6,11,5,3,-,-,-,18
