Strategic,Monitor,On,Friday,04-May-2018,filename:CCITY_20180504

Friday,04-May-2018,00:00,SS,6M+,PL,5.3,PV,5.3,CL,93,+0,RL,86,SA,20,DS,22
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,183,S,21,B,34,27,4,3,32,5,4,41,6,5,-,-,-,42
,184,S,161,A,36,13,2,2,35,5,4,16,3,2,0,0,0,37
,184,S,162,B,0,0,0,0,0,0,0,-,-,-,-,-,-,3
,183,S,183,B,34,27,4,3,32,5,4,-,-,-,-,-,-,38
,183,L,7,AC,67,43,9,9,-,-,-,-,-,-,-,-,-,300
A=<29,B=48,C=#20
Friday,04-May-2018,00:08,SS,10M+,PL,3.2,PV,3.2,CL,86,+0,RL,80,SA,20,DS,43
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,354,S,30,A,68,24,7,5,20,7,5,5,2,1,-,-,-,19
,354,S,31,B,22,32,4,3,21,3,2,0,0,0,-,-,-,26
,182,S,34,A,35,0,0,0,10,2,1,-,-,-,-,-,-,9
,2,L,14,AD,42,24,4,3,26,6,5,-,-,-,-,-,-,1600
,2,L,15,AD,42,-,-,-,-,-,-,-,-,-,-,-,-,0
A=<53,B=47
Friday,04-May-2018,00:08,SS,58M+,PL,1.3,PV,1.3,CL,86,+0,RL,80,SA,201,DS,14
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,288,S,206,A,90,15,6,5,0,0,0,17,7,6,0,0,0,18
,288,S,270,B,0,0,0,0,0,0,0,-,-,-,-,-,-,0
A=<78,B=#19
Friday,04-May-2018,00:09,SS,85M+,PL,8.3,PV,8.3,CL,110,+1,RL,110,SA,310,DS,93
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,908,S,287,AC,90,-,-,-,18,8,5,4,2,1,-,-,-,24
,196,S,310,A,49,54,6,8,68,7,10,45,4,6,-,-,-,93
,196,S,311,ABE,49,47,2,9,45,7,7,28,5,5,0,0,0,47
,196,S,312,D,33,24,2,2,51,6,5,58,7,7,16,2,1,72
,197,L,71,ABF,48,52,7,9,64,10,12,-,-,-,-,-,-,480
,197,L,72,ABF,48,41,6,6,20,4,3,-,-,-,-,-,-,320
A=<20,B=20,C=#25,D=20,E=17
Friday,04-May-2018,00:10,SS,6M+,PL,6.3,PV,8.3,CL,86,+0,RL,86,SA,20,DS,29
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,183,S,20,AC,44,23,3,3,24,4,3,29,5,5,12,3,2,35
,183,S,21,B,33,31,4,3,19,3,2,10,2,1,-,-,-,33
,184,S,161,A,84,8,3,2,23,8,7,20,9,7,4,2,1,30
,184,S,162,B,12,0,0,0,0,0,0,-,-,-,-,-,-,2
,183,S,183,B,33,31,4,3,19,3,2,-,-,-,-,-,-,30
,183,L,7,AC,44,23,3,3,-,-,-,-,-,-,-,-,-,220
A=<29,B=48,C=#20
Friday,04-May-2018,00:10,SS,10M+,PL,3.2,PV,4.2,CL,86,+0,RL,74,SA,20,DS,29
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,354,S,30,A,68,24,7,5,20,7,5,5,2,1,-,-,-,22
,354,S,31,B,17,22,2,1,15,2,1,0,0,0,-,-,-,26
,182,S,34,A,11,0,0,0,8,2,0,-,-,-,-,-,-,10
,2,L,14,AD,38,12,2,1,25,4,4,-,-,-,-,-,-,700
,2,L,15,AD,38,-,-,-,-,-,-,-,-,-,-,-,-,0
A=<53,B=47
Friday,04-May-2018,00:10,SS,58M+,PL,1.3,PV,1.3,CL,86,+0,RL,74,SA,0,DS,0
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,288,S,206,A,74,26,9,7,0,0,0,17,6,5,0,0,0,21
,288,S,270,B,0,0,0,0,0,0,0,-,-,-,-,-,-,0
A=<80,B=#17
Friday,04-May-2018,00:11,SS,85M+,PL,8.3,PV,8.3,CL,108,+0,RL,103,SA,0,DS,0
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,908,S,287,AC,107,-,-,-,31,14,10,9,4,3,-,-,-,29
,196,S,310,A,46,49,6,7,34,5,4,70,8,9,-,-,-,71
,196,S,311,ABE,46,24,3,4,38,5,5,39,7,6,16,3,3,45
,196,S,312,D,25,35,3,3,22,3,2,31,4,3,12,2,1,52
,197,L,71,ABF,51,20,5,4,19,5,4,-,-,-,-,-,-,420
,197,L,72,ABF,51,45,5,7,61,7,10,-,-,-,-,-,-,440
A=<20,B=20,C=#25,D=20,E=17
Friday,04-May-2018,00:11,SS,6M+,PL,8.3,PV,8.3,CL,86,+0,RL,86,SA,20,DS,31
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,183,S,20,AC,54,15,3,2,18,4,3,31,6,7,7,2,1,33
,183,S,21,B,27,27,3,2,23,3,2,0,0,0,-,-,-,31
,184,S,161,A,75,7,2,2,23,7,6,23,8,7,7,2,2,26
,184,S,162,B,0,0,0,0,0,0,0,-,-,-,-,-,-,0
,183,S,183,B,27,27,3,2,23,3,2,-,-,-,-,-,-,29
,183,L,7,AC,54,15,3,2,-,-,-,-,-,-,-,-,-,160
A=<25,B=52,C=#20
Friday,04-May-2018,00:11,SS,10M+,PL,4.2,PV,4.2,CL,86,+0,RL,70,SA,20,DS,31
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,354,S,30,A,70,13,5,3,12,5,3,14,4,3,-,-,-,20
,354,S,31,B,21,14,2,1,35,5,3,26,3,2,-,-,-,30
,182,S,34,A,18,10,2,1,8,2,0,-,-,-,-,-,-,9
,2,L,14,AD,64,17,4,4,29,8,8,-,-,-,-,-,-,900
,2,L,15,AD,64,-,-,-,-,-,-,-,-,-,-,-,-,0
A=<47,B=53
Friday,04-May-2018,00:11,SS,58M+,PL,1.3,PV,1.3,CL,86,+0,RL,70,SA,200,DS,13
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,288,S,206,A,85,10,4,3,0,0,0,23,9,8,0,0,0,23
,288,S,270,B,0,0,0,0,0,0,0,-,-,-,-,-,-,0
A=<83,B=#15
Friday,04-May-2018,00:13,SS,6M+,PL,8.3,PV,2.3,CL,86,+0,RL,86,SA,20,DS,25
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,183,S,20,AC,58,8,2,1,24,5,4,25,7,6,6,2,1,28
,183,S,21,B,24,13,2,1,14,2,1,16,2,1,-,-,-,23
,184,S,161,A,85,9,3,3,34,11,10,23,10,8,5,2,1,28
,184,S,162,B,0,0,0,0,0,0,0,-,-,-,-,-,-,0
,183,S,183,B,24,13,2,1,14,2,1,-,-,-,-,-,-,22
,183,L,7,AC,58,8,2,1,-,-,-,-,-,-,-,-,-,80
A=<25,B=52,C=#20
Friday,04-May-2018,00:13,SS,10M+,PL,4.2,PV,3.2,CL,86,+0,RL,69,SA,20,DS,25
