Strategic,Monitor,On,Thursday,17-May-2018,filename:CCITY_20180517

Thursday,17-May-2018,00:00,SS,85M+,PL,5.4,PV,5.4,CL,120,+0,RL,107,SA,0,DS,0
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,288,S,206,A,77,33,11,10,16,4,4,37,13,11,0,0,0,42
,288,S,270,B,0,0,0,0,0,0,0,-,-,-,-,-,-,8
A=<69,B=#28
Thursday,17-May-2018,00:14,SS,85M+,PL,4.3,PV,4.3,CL,120,+0,RL,105,SA,0,DS,0
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,908,S,287,AC,77,-,-,-,22,7,5,5,2,1,-,-,-,46
,196,S,310,A,59,13,3,2,42,5,7,51,5,8,-,-,-,47
,196,S,311,ABE,59,15,4,4,13,3,2,16,4,3,0,0,0,23
,196,S,312,D,46,16,2,2,21,4,3,52,11,9,32,5,4,50
,197,L,71,ABF,51,44,9,8,37,8,7,-,-,-,-,-,-,280
,197,L,72,ABF,51,30,5,5,27,5,4,-,-,-,-,-,-,160
A=<16,B=20,C=#25,D=25,E=18
Thursday,17-May-2018,00:16,SS,6M+,PL,6.3,PV,5.3,CL,90,+0,RL,86,SA,20,DS,43
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,183,S,20,AC,74,43,5,10,24,5,6,40,10,11,16,5,4,47
,183,S,21,B,27,0,0,0,24,2,2,25,2,2,-,-,-,35
,184,S,161,A,89,13,5,4,28,10,9,27,12,9,12,4,3,43
,184,S,162,B,0,0,0,0,0,0,0,-,-,-,-,-,-,0
,183,S,183,B,27,0,0,0,24,2,2,-,-,-,-,-,-,35
,183,L,7,AC,74,43,5,10,-,-,-,-,-,-,-,-,-,300
A=<30,B=48,C=#20
Thursday,17-May-2018,00:16,SS,10M+,PL,2.2,PV,3.2,CL,90,+0,RL,73,SA,20,DS,43
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,354,S,30,A,72,18,7,4,18,7,4,14,5,3,-,-,-,17
,354,S,31,B,14,0,0,0,14,3,1,0,0,0,-,-,-,14
,182,S,34,A,66,13,3,3,0,0,0,-,-,-,-,-,-,8
,2,L,14,AD,31,48,6,5,47,7,6,-,-,-,-,-,-,2100
,2,L,15,AD,31,-,-,-,-,-,-,-,-,-,-,-,-,0
A=<60,B=40
Thursday,17-May-2018,00:16,SS,58M+,PL,3.3,PV,1.3,CL,90,+0,RL,73,SA,201,DS,10
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,288,S,206,A,87,17,7,6,0,0,0,11,5,4,0,0,0,30
,288,S,270,B,22,0,0,0,0,0,0,-,-,-,-,-,-,0
A=<71,B=#26
Thursday,17-May-2018,00:16,SS,85M+,PL,4.3,PV,7.3,CL,120,+0,RL,106,SA,108,DS,85
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,908,S,287,AC,114,-,-,-,31,12,10,15,3,5,-,-,-,35
,196,S,310,A,50,46,3,7,22,3,3,23,3,3,-,-,-,50
,196,S,311,ABE,50,9,2,2,14,2,2,11,2,2,11,2,2,15
,196,S,312,D,31,9,2,1,15,2,1,35,5,4,14,3,1,43
,197,L,71,ABF,63,31,7,7,26,8,6,-,-,-,-,-,-,340
,197,L,72,ABF,63,0,0,0,0,0,0,-,-,-,-,-,-,100
A=<16,B=20,C=#25,D=25,E=18
Thursday,17-May-2018,00:17,SS,6M+,PL,6.3,PV,4.3,CL,89,+0,RL,86,SA,20,DS,16
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,183,S,20,AC,41,16,3,2,0,0,0,13,3,2,0,0,0,31
,183,S,21,B,25,22,4,2,25,3,2,16,3,1,-,-,-,33
,184,S,161,A,89,13,5,4,17,6,5,11,5,4,0,0,0,25
,184,S,162,B,0,0,0,0,0,0,0,-,-,-,-,-,-,0
,183,S,183,B,25,22,4,2,25,3,2,-,-,-,-,-,-,33
,183,L,7,AC,41,16,3,2,-,-,-,-,-,-,-,-,-,200
A=<30,B=48,C=#20
Thursday,17-May-2018,00:17,SS,10M+,PL,3.2,PV,3.2,CL,89,+0,RL,73,SA,20,DS,16
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,354,S,30,A,76,20,7,5,17,5,4,6,2,1,-,-,-,19
,354,S,31,B,26,21,3,2,46,5,5,0,0,0,-,-,-,28
,182,S,34,A,52,0,0,0,0,0,0,-,-,-,-,-,-,4
,2,L,14,AD,54,95,16,17,81,16,19,-,-,-,-,-,-,2800
,2,L,15,AD,54,-,-,-,-,-,-,-,-,-,-,-,-,0
A=<53,B=47
Thursday,17-May-2018,00:17,SS,58M+,PL,1.3,PV,1.3,CL,89,+0,RL,73,SA,200,DS,9
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,288,S,206,A,69,26,8,7,11,3,2,19,6,5,0,0,0,25
,288,S,270,B,0,0,0,0,0,0,0,-,-,-,-,-,-,0
A=<76,B=#21
Thursday,17-May-2018,00:18,SS,85M+,PL,8.3,PV,8.4,CL,120,+0,RL,106,SA,0,DS,0
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,908,S,287,AC,88,-,-,-,19,7,5,7,3,2,-,-,-,24
,196,S,310,A,35,41,4,4,66,7,7,25,2,2,-,-,-,56
,196,S,311,ABE,62,0,0,0,7,2,1,27,6,6,11,3,3,20
,196,S,312,D,34,23,3,2,30,4,3,30,4,4,0,0,0,36
,197,L,71,ABF,67,28,7,6,45,9,12,-,-,-,-,-,-,460
,197,L,72,ABF,67,31,3,6,20,5,4,-,-,-,-,-,-,200
A=<22,B=20,C=#25,D=20,E=17
Thursday,17-May-2018,00:19,SS,6M+,PL,4.3,PV,4.3,CL,87,-2,RL,86,SA,20,DS,32
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,183,S,20,AC,59,18,4,3,26,6,5,32,8,7,11,3,2,29
,183,S,21,B,0,0,0,0,0,0,0,0,0,0,-,-,-,14
,184,S,161,A,89,12,5,4,32,11,10,25,11,9,8,3,2,26
,184,S,162,B,0,0,0,0,0,0,0,-,-,-,-,-,-,0
,183,S,183,B,0,0,0,0,0,0,0,-,-,-,-,-,-,14
,183,L,7,AC,59,18,4,3,-,-,-,-,-,-,-,-,-,160
A=<33,B=44,C=#20
Thursday,17-May-2018,00:19,SS,10M+,PL,3.2,PV,3.2,CL,87,-2,RL,73,SA,20,DS,32
