Strategic,Monitor,On,Tuesday,17-April-2018,filename:CCITY_20180417

Tuesday,17-April-2018,00:00,SS,85M+,PL,5.4,PV,6.4,CL,100,+0,RL,90,SA,0,DS,0
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,2,L,15,AD,69,-,-,-,-,-,-,-,-,-,-,-,-,0
A=<53,B=47
Tuesday,17-April-2018,00:07,SS,6M+,PL,6.3,PV,6.3,CL,86,+0,RL,86,SA,20,DS,15
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,183,S,20,AC,53,0,0,0,8,2,1,15,3,3,0,0,0,13
,183,S,21,B,29,19,3,2,31,3,3,21,3,2,-,-,-,42
,184,S,161,A,84,7,3,2,7,3,2,4,2,1,0,0,0,12
,184,S,162,B,27,16,2,1,0,0,0,-,-,-,-,-,-,7
,183,S,183,B,29,19,3,2,31,3,3,-,-,-,-,-,-,42
,183,L,7,AC,53,0,0,0,-,-,-,-,-,-,-,-,-,20
A=<29,B=48,C=#20
Tuesday,17-April-2018,00:07,SS,10M+,PL,3.2,PV,3.2,CL,86,+0,RL,69,SA,20,DS,15
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,354,S,30,A,66,10,4,2,8,3,2,7,3,1,-,-,-,15
,354,S,31,B,20,0,0,0,24,2,2,11,2,1,-,-,-,16
,182,S,34,A,87,6,2,1,17,6,5,-,-,-,-,-,-,8
,2,L,14,AD,59,18,4,4,16,5,4,-,-,-,-,-,-,600
,2,L,15,AD,59,-,-,-,-,-,-,-,-,-,-,-,-,0
A=<53,B=47
Tuesday,17-April-2018,00:07,SS,58M+,PL,1.3,PV,1.3,CL,86+18,RL,68,SA,200,DS,7
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,288,S,206,A,75,21,7,6,7,2,2,10,3,3,0,0,0,19
,288,S,270,B,0,0,0,0,0,0,0,-,-,-,-,-,-,0
A=<85,B=#13
Tuesday,17-April-2018,00:07,SS,85M+,PL,8.3,PV,8.3,CL,100,+0,RL,89,SA,0,DS,0
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,908,S,287,AC,83,-,-,-,0,0,0,4,2,1,-,-,-,3
,196,S,310,A,51,44,6,7,27,3,4,84,8,12,-,-,-,69
,196,S,311,ABE,51,10,2,2,34,5,6,19,4,4,15,3,3,43
,196,S,312,D,35,74,5,8,37,6,4,49,7,6,71,6,7,59
,197,L,71,ABF,66,16,4,4,19,5,6,-,-,-,-,-,-,360
,197,L,72,ABF,66,19,5,4,11,4,3,-,-,-,-,-,-,260
A=<18,B=20,C=#25,D=20,E=17
Tuesday,17-April-2018,00:08,SS,6M+,PL,6.3,PV,6.3,CL,86,+0,RL,86,SA,20,DS,20
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,183,S,20,AC,57,19,4,3,16,4,3,20,6,4,9,3,2,16
,183,S,21,B,24,20,3,2,19,3,2,14,2,1,-,-,-,35
,184,S,161,A,60,0,0,0,29,8,6,29,9,7,0,0,0,19
,184,S,162,B,11,0,0,0,0,0,0,-,-,-,-,-,-,5
,183,S,183,B,24,20,3,2,19,3,2,-,-,-,-,-,-,35
,183,L,7,AC,57,19,4,3,-,-,-,-,-,-,-,-,-,60
A=<29,B=48,C=#20
Tuesday,17-April-2018,00:08,SS,10M+,PL,3.2,PV,3.2,CL,86,+0,RL,69,SA,20,DS,20
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,354,S,30,A,66,10,4,2,8,3,2,7,3,1,-,-,-,12
,354,S,31,B,17,19,2,1,14,2,1,22,3,1,-,-,-,20
,182,S,34,A,22,0,0,0,0,0,0,-,-,-,-,-,-,6
,2,L,14,AD,45,8,2,1,20,4,4,-,-,-,-,-,-,560
,2,L,15,AD,45,-,-,-,-,-,-,-,-,-,-,-,-,0
A=<53,B=47
Tuesday,17-April-2018,00:08,SS,58M+,PL,1.3,PV,1.3,CL,86,+0,RL,68,SA,201,DS,24
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,288,S,206,A,84,20,8,6,6,2,2,23,8,7,0,0,0,22
,288,S,270,B,0,0,0,0,0,0,0,-,-,-,-,-,-,0
A=<87,B=#11
Tuesday,17-April-2018,00:08,SS,85M+,PL,8.3,PV,8.4,CL,100,+0,RL,90,SA,0,DS,0
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,908,S,287,AC,99,-,-,-,0,0,0,7,3,2,-,-,-,4
,196,S,310,A,42,0,0,0,71,6,9,57,5,7,-,-,-,72
,196,S,311,ABE,42,58,2,9,36,6,5,26,5,4,10,2,2,51
,196,S,312,D,26,0,0,0,14,2,1,37,4,4,25,3,2,52
