Strategic,Monitor,On,Saturday,07-April-2018,filename:CCITY_20180407

Saturday,07-April-2018,00:00,SS,85M+,PL,8.3,PV,8.3,CL,120,+0,RL,140,SA,310,DS,165
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,288,S,206,A,74,30,8,8,6,2,1,23,8,7,0,0,0,24
,288,S,270,B,12,21,2,1,17,2,1,-,-,-,-,-,-,25
A=<62,B=#32
Saturday,07-April-2018,00:06,SS,85M+,PL,8.3,PV,8.3,CL,120,+0,RL,118,SA,313,DS,130
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,908,S,287,AC,76,-,-,-,0,0,0,8,3,2,-,-,-,27
,196,S,310,A,38,42,3,5,132,8,15,142,8,15,-,-,-,97
,196,S,311,ABE,38,26,3,4,64,7,8,51,7,7,27,4,4,59
,196,S,312,D,32,32,4,3,11,2,1,43,5,5,0,0,0,92
,197,L,71,ABF,33,49,6,6,66,7,9,-,-,-,-,-,-,500
,197,L,72,ABF,33,63,4,7,42,5,5,-,-,-,-,-,-,440
A=<22,B=20,C=#25,D=20,E=17
Saturday,07-April-2018,00:06,SS,6M+,PL,6.3,PV,6.3,CL,106,-3,RL,92,SA,20,DS,21
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,183,S,20,AC,64,19,5,4,21,6,4,18,6,5,5,2,1,33
,183,S,21,B,31,36,6,4,52,8,6,12,3,1,-,-,-,56
,184,S,161,A,108,12,5,4,21,8,8,14,6,6,8,3,3,28
,184,S,162,B,0,0,0,0,0,0,0,-,-,-,-,-,-,0
,183,S,183,B,31,36,6,4,52,8,6,-,-,-,-,-,-,56
,183,L,7,AC,64,19,5,4,-,-,-,-,-,-,-,-,-,140
A=<33,B=48,C=#20
Saturday,07-April-2018,00:06,SS,10M+,PL,3.2,PV,4.2,CL,106,-3,RL,91,SA,20,DS,21
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,354,S,30,A,74,27,8,6,19,6,5,18,5,4,-,-,-,25
,354,S,31,B,19,6,2,0,22,4,2,0,0,0,-,-,-,28
,182,S,34,A,85,0,0,0,26,7,8,-,-,-,-,-,-,26
,2,L,14,AD,51,25,5,4,17,5,4,-,-,-,-,-,-,1400
,2,L,15,AD,51,-,-,-,-,-,-,-,-,-,-,-,-,0
A=<53,B=47
Saturday,07-April-2018,00:07,SS,58,-,PL,4.3,PV,4.3,CL,85,+0,RL,68,SA,200,DS,20
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,288,S,206,A,72,39,12,11,0,0,0,26,9,8,0,0,0,31
,288,S,270,B,13,0,0,0,31,2,1,-,-,-,-,-,-,28
A=<65,B=#30
Saturday,07-April-2018,00:08,SS,6M+,PL,6.3,PV,6.3,CL,104,+0,RL,89,SA,20,DS,34
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,183,S,20,AC,75,34,10,8,27,8,7,24,9,7,5,2,1,28
,183,S,21,B,37,35,7,4,30,5,4,24,4,3,-,-,-,45
,184,S,161,A,107,22,9,8,35,15,14,22,10,9,0,0,0,30
,184,S,162,B,0,0,0,0,0,0,0,-,-,-,-,-,-,0
,183,S,183,B,37,35,7,4,30,5,4,-,-,-,-,-,-,45
,183,L,7,AC,75,34,10,8,-,-,-,-,-,-,-,-,-,160
A=<33,B=48,C=#20
Saturday,07-April-2018,00:08,SS,10M+,PL,4.2,PV,4.2,CL,104,+0,RL,89,SA,20,DS,34
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,354,S,30,A,89,10,3,3,10,3,3,5,2,1,-,-,-,19
,354,S,31,B,27,8,2,1,16,3,2,13,2,1,-,-,-,21
,182,S,34,A,94,4,2,1,10,4,3,-,-,-,-,-,-,18
,2,L,14,AD,62,44,8,9,39,10,11,-,-,-,-,-,-,1560
,2,L,15,AD,62,-,-,-,-,-,-,-,-,-,-,-,-,0
A=<47,B=53
Saturday,07-April-2018,00:08,SS,85M+,PL,8.3,PV,8.3,CL,120,+0,RL,125,SA,310,DS,130
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,908,S,287,AC,106,-,-,-,0,0,0,5,2,2,-,-,-,10
,196,S,310,A,58,76,8,13,97,9,16,155,7,25,-,-,-,130
,196,S,311,ABE,58,7,2,2,36,7,7,36,7,8,25,5,6,49
,196,S,312,D,36,52,5,5,71,9,8,70,9,10,13,2,1,75
,197,L,71,ABF,40,87,13,13,71,13,12,-,-,-,-,-,-,620
,197,L,72,ABF,40,42,6,6,53,9,8,-,-,-,-,-,-,440
A=<22,B=20,C=#25,D=20,E=17
Saturday,07-April-2018,00:08,SS,58,-,PL,3.3,PV,3.3,CL,85,+0,RL,68,SA,200,DS,19
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,288,S,206,A,72,37,12,10,0,0,0,34,10,10,0,0,0,36
,288,S,270,B,13,0,0,0,24,2,1,-,-,-,-,-,-,26
A=<67,B=#28
Saturday,07-April-2018,00:09,SS,6M+,PL,6.3,PV,8.3,CL,102,+0,RL,88,SA,20,DS,37
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,183,S,20,AC,61,15,4,3,37,9,7,37,11,9,9,2,2,32
,183,S,21,B,25,12,3,1,16,3,1,0,0,0,-,-,-,30
,184,S,161,A,99,21,8,7,37,13,14,31,14,12,8,3,3,33
,184,S,162,B,0,0,0,0,0,0,0,-,-,-,-,-,-,0
,183,S,183,B,25,12,3,1,16,3,1,-,-,-,-,-,-,30
