Strategic,Monitor,On,Friday,13-April-2018,filename:CCITY_20180413

Friday,13-April-2018,00:00,SS,3M+,PL,3.3,PV,3.3,CL,86,+0,RL,69,SA,201,DS,100
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
Friday,13-April-2018,00:07,SS,10M+,PL,4.2,PV,4.2,CL,86,+0,RL,69,SA,15,DS,147
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,354,S,30,A,65,12,4,2,11,4,2,11,4,2,-,-,-,18
,354,S,31,B,33,36,6,4,53,7,7,0,0,0,-,-,-,36
,182,S,34,A,20,19,2,1,28,3,2,-,-,-,-,-,-,29
,2,L,14,AD,50,39,5,6,33,7,7,-,-,-,-,-,-,1000
,2,L,15,AD,50,-,-,-,-,-,-,-,-,-,-,-,-,0
A=<47,B=53
Friday,13-April-2018,00:07,SS,23M+,PL,8.2,PV,7.4,CL,120,-4,RL,101,SA,310,DS,97
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,152,S,130,A,98,25,14,12,29,14,13,25,11,11,-,-,-,27
,152,S,131,A,98,22,7,7,8,3,3,-,-,-,-,-,-,25
,152,S,132,C,43,51,8,7,36,6,6,36,7,6,-,-,-,78
,193,L,57,ABCE,99,4,2,2,25,9,8,22,8,8,-,-,-,500
,193,L,58,AE,77,23,5,5,31,9,9,22,6,6,-,-,-,660
A=<58,B=1,C=42,D=1
Friday,13-April-2018,00:08,SS,28M+,PL,8.3,PV,8.2,CL,74,+1,RL,70,SA,90,DS,154
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,48,S,89,A,65,12,4,3,25,8,6,-,-,-,-,-,-,40
,48,S,90,A,65,-,-,-,-,-,-,154,3,44,-,-,-,69
,48,S,91,BC,22,19,3,2,36,4,3,-,-,-,-,-,-,27
,48,S,213,A,65,-,-,-,-,-,-,154,3,44,-,-,-,69
,48,L,23,A,65,12,4,3,25,8,6,-,-,-,-,-,-,380
,48,L,49,A,65,-,-,-,-,-,-,154,3,44,-,-,-,1020
A=<42,B=28,C=#22
Friday,13-April-2018,00:08,SS,3M+,PL,1.3,PV,0.3,CL,86,+0,RL,69,SA,0,DS,0
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,145,S,9,AC,89,0,0,0,-,-,-,-,-,-,-,-,-,7
,145,S,10,C,19,28,2,2,11,2,1,13,2,1,-,-,-,30
,145,S,133,AB,71,10,4,3,13,4,3,-,-,-,-,-,-,12
,145,S,204,AB,71,-,-,-,-,-,-,-,-,-,-,-,-,0
,145,S,205,AB,71,10,4,3,13,4,3,-,-,-,-,-,-,12
,145,S,212,AC,89,0,0,0,-,-,-,-,-,-,-,-,-,7
,145,L,4,AB,71,10,4,3,13,4,3,-,-,-,-,-,-,200
A=<33,B=#23,C=40
Friday,13-April-2018,00:08,SS,10M+,PL,3.2,PV,3.2,CL,86,+0,RL,69,SA,20,DS,16
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,354,S,30,A,53,14,4,2,15,4,3,7,2,1,-,-,-,16
,354,S,31,B,18,18,3,1,0,0,0,0,0,0,-,-,-,32
,182,S,34,A,12,17,2,1,0,0,0,-,-,-,-,-,-,25
,2,L,14,AD,70,40,8,9,62,16,19,-,-,-,-,-,-,1900
