Strategic,Monitor,On,Thursday,12-April-2018,filename:CCITY_20180412

Thursday,12-April-2018,00:00,SS,6M+,PL,6.3,PV,6.3,CL,86,+0,RL,86,SA,20,DS,29
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,184,S,161,A,85,15,6,4,30,10,9,22,9,7,6,2,2,25
,184,S,162,B,0,0,0,0,0,0,0,-,-,-,-,-,-,7
,183,S,183,B,30,10,2,1,39,4,4,-,-,-,-,-,-,38
,183,L,7,AC,57,15,3,3,-,-,-,-,-,-,-,-,-,100
A=<29,B=48,C=#20
Thursday,12-April-2018,00:05,SS,10M+,PL,4.2,PV,1.2,CL,86,+0,RL,69,SA,20,DS,18
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,354,S,30,A,71,10,4,2,10,4,2,5,2,1,-,-,-,12
,354,S,31,B,14,0,0,0,9,2,0,0,0,0,-,-,-,17
,182,S,34,A,63,0,0,0,0,0,0,-,-,-,-,-,-,6
,2,L,14,AD,64,16,4,3,25,8,7,-,-,-,-,-,-,960
,2,L,15,AD,64,-,-,-,-,-,-,-,-,-,-,-,-,0
A=<47,B=53
Thursday,12-April-2018,00:05,SS,58M+,PL,1.3,PV,1.3,CL,86,+0,RL,69,SA,200,DS,26
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,288,S,206,A,76,9,3,3,0,0,0,18,5,5,0,0,0,22
,288,S,270,B,0,0,0,0,0,0,0,-,-,-,-,-,-,0
A=<85,B=#13
Thursday,12-April-2018,00:05,SS,85M+,PL,5.3,PV,5.3,CL,100,+0,RL,89,SA,0,DS,0
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,908,S,287,AC,43,-,-,-,0,0,0,11,2,1,-,-,-,8
,196,S,310,A,71,20,5,4,9,3,2,32,7,6,-,-,-,40
,196,S,311,ABE,71,0,0,0,16,5,4,9,3,2,16,5,5,27
,196,S,312,D,25,23,2,2,42,5,3,43,6,4,0,0,0,45
,197,L,71,ABF,51,13,2,3,14,4,3,-,-,-,-,-,-,360
,197,L,72,ABF,51,30,5,5,24,4,5,-,-,-,-,-,-,340
A=<14,B=20,C=#25,D=24,E=17
Thursday,12-April-2018,00:07,SS,6M+,PL,6.3,PV,6.3,CL,86,+0,RL,86,SA,20,DS,24
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,183,S,20,AC,43,24,4,3,16,3,2,8,2,1,0,0,0,21
,183,S,21,B,21,28,3,2,42,4,3,0,0,0,-,-,-,40
,184,S,161,A,85,13,5,4,23,8,7,9,4,3,0,0,0,26
,184,S,162,B,11,0,0,0,0,0,0,-,-,-,-,-,-,0
,183,S,183,B,21,28,3,2,42,4,3,-,-,-,-,-,-,40
,183,L,7,AC,43,24,4,3,-,-,-,-,-,-,-,-,-,120
A=<29,B=48,C=#20
Thursday,12-April-2018,00:07,SS,10M+,PL,1.2,PV,1.2,CL,86,+0,RL,69,SA,20,DS,24
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,354,S,30,A,71,10,4,2,10,4,2,5,2,1,-,-,-,10
,354,S,31,B,14,0,0,0,9,2,0,0,0,0,-,-,-,12
,182,S,34,A,21,0,0,0,9,2,1,-,-,-,-,-,-,6
,2,L,14,AD,76,20,6,5,27,9,9,-,-,-,-,-,-,1260
,2,L,15,AD,76,-,-,-,-,-,-,-,-,-,-,-,-,0
A=<64,B=36
Thursday,12-April-2018,00:07,SS,58M+,PL,1.3,PV,1.3,CL,86,+0,RL,69,SA,200,DS,18
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,288,S,206,A,85,24,9,8,0,0,0,24,9,7,0,0,0,24
,288,S,270,B,0,0,0,0,0,0,0,-,-,-,-,-,-,0
A=<85,B=#13
Thursday,12-April-2018,00:07,SS,85M+,PL,6.3,PV,6.3,CL,100,+0,RL,88,SA,0,DS,0
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,908,S,287,AC,87,-,-,-,0,0,0,4,2,1,-,-,-,6
,196,S,310,A,46,41,5,6,59,9,8,72,8,9,-,-,-,51
,196,S,311,ABE,46,0,0,0,27,5,4,13,3,2,8,2,1,25
,196,S,312,D,38,48,4,5,10,2,1,61,10,9,0,0,0,53
,197,L,71,ABF,44,30,7,5,32,7,6,-,-,-,-,-,-,300
