Strategic,Monitor,On,Sunday,29-April-2018,filename:CCITY_20180429

Sunday,29-April-2018,00:00,SS,23M+,PL,4.4,PV,3.3,CL,120,+0,RL,101,SA,310,DS,167
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,145,S,204,AB,78,-,-,-,-,-,-,-,-,-,-,-,-,0
,145,S,205,AB,78,15,7,5,17,5,4,-,-,-,-,-,-,20
,145,S,212,AC,92,15,5,5,-,-,-,-,-,-,-,-,-,16
,145,L,4,AB,78,15,7,5,17,5,4,-,-,-,-,-,-,420
A=<36,B=#23,C=41
Sunday,29-April-2018,00:08,SS,10M+,PL,3.2,PV,4.2,CL,102,+0,RL,87,SA,17,DS,114
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,354,S,30,A,85,22,9,6,14,7,4,9,3,2,-,-,-,25
,354,S,31,B,17,10,2,1,20,3,1,0,0,0,-,-,-,28
,182,S,34,A,73,0,0,0,18,5,4,-,-,-,-,-,-,18
,2,L,14,AD,41,9,2,1,17,3,3,-,-,-,-,-,-,1000
,2,L,15,AD,41,-,-,-,-,-,-,-,-,-,-,-,-,0
A=<53,B=47
Sunday,29-April-2018,00:08,SS,23M+,PL,3.3,PV,6.4,CL,120,+0,RL,101,SA,130,DS,51
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,152,S,130,A,121,38,26,22,51,30,27,41,25,22,-,-,-,52
,152,S,131,A,121,21,10,8,16,8,7,-,-,-,-,-,-,30
,152,S,132,C,32,71,7,7,26,4,3,31,5,4,-,-,-,54
,193,L,57,ABCE,73,5,2,1,41,11,10,0,0,0,-,-,-,300
,193,L,58,AE,51,30,6,5,31,6,6,27,5,5,-,-,-,440
A=<68,B=1,C=32,D=1
Sunday,29-April-2018,00:09,SS,28M+,PL,6.2,PV,3.3,CL,109,+0,RL,102,SA,51,DS,147
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,48,S,89,A,43,0,0,0,30,5,5,-,-,-,-,-,-,39
,48,S,90,A,43,-,-,-,-,-,-,0,0,0,-,-,-,33
,48,S,91,BC,37,52,3,7,37,5,5,-,-,-,-,-,-,60
,48,S,213,A,43,-,-,-,-,-,-,0,0,0,-,-,-,33
,48,L,23,A,43,0,0,0,30,5,5,-,-,-,-,-,-,260
,48,L,49,A,43,-,-,-,-,-,-,0,0,0,-,-,-,240
A=<48,B=32,C=#22
Sunday,29-April-2018,00:09,SS,3M+,PL,1.2,PV,0.3,CL,104,+0,RL,85,SA,0,DS,0
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,145,S,9,AC,95,7,3,2,-,-,-,-,-,-,-,-,-,13
,145,S,10,C,13,0,0,0,9,2,1,0,0,0,-,-,-,21
,145,S,133,AB,83,15,5,6,15,5,4,-,-,-,-,-,-,16
