Strategic,Monitor,On,Saturday,09-June-2018,filename:CCITY_20180609

Saturday,09-June-2018,00:00,SS,10M-,PL,3.2,PV,2.2,CL,87,+0,RL,70,SA,56,DS,114
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,354,S,30,A,62,0,0,0,6,2,1,0,0,0,-,-,-,22
,354,S,31,B,18,16,3,1,14,3,1,0,0,0,-,-,-,27
,182,S,34,A,50,10,2,2,26,5,5,-,-,-,-,-,-,37
A=<53,B=47
Saturday,09-June-2018,00:06,SS,6M+,PL,7.3,PV,7.3,CL,86,+0,RL,86,SA,20,DS,37
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,183,S,20,AC,52,37,7,6,18,3,3,35,6,7,0,0,0,42
,183,S,21,B,34,49,8,5,47,6,6,15,2,2,-,-,-,65
,184,S,161,A,75,35,6,9,47,10,12,35,11,10,0,0,0,37
,184,S,162,B,0,0,0,0,0,0,0,-,-,-,-,-,-,0
,183,S,183,B,34,49,8,5,47,6,6,-,-,-,-,-,-,63
,183,L,7,AC,52,37,7,6,-,-,-,-,-,-,-,-,-,220
A=<27,B=50,C=#20
Saturday,09-June-2018,00:06,SS,58M+,PL,1.3,PV,1.3,CL,86,+0,RL,69,SA,201,DS,44
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,288,S,206,A,63,48,11,12,13,3,3,25,8,7,0,0,0,36
,288,S,270,B,21,0,0,0,0,0,0,-,-,-,-,-,-,0
A=<78,B=#19
Saturday,09-June-2018,00:07,SS,85M+,PL,7.3,PV,7.3,CL,120,+0,RL,139,SA,310,DS,122
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,908,S,287,AC,67,-,-,-,67,14,12,6,2,1,-,-,-,50
,196,S,310,A,60,42,6,7,32,4,6,82,10,14,-,-,-,122
,196,S,311,ABE,60,26,5,6,37,7,7,49,10,10,31,6,7,56
,196,S,312,D,43,93,8,12,53,7,7,99,13,16,9,2,1,102
,197,L,71,ABF,58,31,7,6,39,10,9,-,-,-,-,-,-,480
,197,L,72,ABF,58,65,8,13,45,8,8,-,-,-,-,-,-,500
A=<20,B=20,C=#25,D=22,E=17
Saturday,09-June-2018,00:07,SS,10,+,PL,3.2,PV,4.2,CL,88,+0,RL,77,SA,30,DS,25
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,354,S,30,A,78,0,0,0,25,9,6,8,3,2,-,-,-,21
,354,S,31,B,23,21,3,2,36,4,3,13,2,1,-,-,-,27
,182,S,34,A,74,0,0,0,5,2,1,-,-,-,-,-,-,23
A=<53,B=47
Saturday,09-June-2018,00:07,SS,6M+,PL,7.3,PV,6.3,CL,88,+0,RL,86,SA,20,DS,42
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,183,S,20,AC,50,34,6,5,42,7,7,35,8,7,8,2,1,41
,183,S,21,B,33,36,5,4,36,5,4,10,2,1,-,-,-,49
,184,S,161,A,85,22,8,6,34,11,10,32,13,11,6,2,2,37
,184,S,162,B,0,0,0,0,0,0,0,-,-,-,-,-,-,0
,183,S,183,B,33,36,5,4,36,5,4,-,-,-,-,-,-,49
,183,L,7,AC,50,34,6,5,-,-,-,-,-,-,-,-,-,220
A=<27,B=50,C=#20
Saturday,09-June-2018,00:07,SS,58M+,PL,2.3,PV,2.3,CL,88,+0,RL,69,SA,201,DS,19
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,288,S,206,A,70,32,10,9,6,2,1,22,8,7,0,0,0,36
,288,S,270,B,11,0,0,0,28,2,1,-,-,-,-,-,-,13
A=<73,B=#24
Saturday,09-June-2018,00:09,SS,10,+,PL,2.2,PV,2.2,CL,90,+0,RL,76,SA,57,DS,151
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,354,S,30,A,72,0,0,0,39,10,9,67,12,15,-,-,-,40
,354,S,31,B,29,0,0,0,25,4,3,12,2,1,-,-,-,27
,182,S,34,A,47,38,5,6,46,3,8,-,-,-,-,-,-,28
A=<60,B=40
Saturday,09-June-2018,00:09,SS,6M+,PL,6.3,PV,6.3,CL,91,+0,RL,86,SA,20,DS,39
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,183,S,20,AC,53,39,7,6,36,7,6,31,7,6,0,0,0,40
,183,S,21,B,37,63,10,8,75,11,10,79,12,10,-,-,-,58
,184,S,161,A,91,27,7,8,53,16,16,31,13,11,0,0,0,45
,184,S,162,B,26,0,0,0,0,0,0,-,-,-,-,-,-,0
,183,S,183,B,37,63,10,8,75,11,10,-,-,-,-,-,-,56
,183,L,7,AC,53,39,7,6,-,-,-,-,-,-,-,-,-,220
A=<30,B=48,C=#20
Saturday,09-June-2018,00:09,SS,58M+,PL,2.3,PV,3.3,CL,91,+0,RL,70,SA,0,DS,0
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,288,S,206,A,76,14,5,4,9,3,2,31,11,10,0,0,0,35
,288,S,270,B,0,0,0,0,0,0,0,-,-,-,-,-,-,9
A=<76,B=#22
Saturday,09-June-2018,00:09,SS,85M+,PL,7.3,PV,5.3,CL,120,+0,RL,128,SA,310,DS,97
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,908,S,287,AC,103,-,-,-,60,9,17,10,3,3,-,-,-,57
,196,S,310,A,60,42,6,7,32,4,6,82,10,14,-,-,-,97
,196,S,311,ABE,60,26,5,6,37,7,7,49,10,10,31,6,7,53
,196,S,312,D,43,93,8,12,53,7,7,99,13,16,9,2,1,96
,197,L,71,ABF,48,23,5,4,31,7,6,-,-,-,-,-,-,420
,197,L,72,ABF,48,29,3,5,36,6,5,-,-,-,-,-,-,440
A=<20,B=20,C=#25,D=22,E=17
Saturday,09-June-2018,00:10,SS,10,+,PL,2.2,PV,4.2,CL,91,-4,RL,74,SA,30,DS,22
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,354,S,30,A,59,0,0,0,22,7,4,13,4,2,-,-,-,38
,354,S,31,B,19,13,2,1,27,4,2,11,2,1,-,-,-,28
,182,S,34,A,42,0,0,0,11,2,2,-,-,-,-,-,-,21
A=<60,B=40
Saturday,09-June-2018,00:10,SS,6M+,PL,6.3,PV,6.3,CL,90,+0,RL,86,SA,20,DS,41
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,183,S,20,AC,52,41,7,6,23,4,4,41,6,8,0,0,0,41
,183,S,21,B,30,29,3,3,23,3,2,0,0,0,-,-,-,47
,184,S,161,A,58,47,10,9,67,14,13,30,8,7,0,0,0,55
,184,S,162,B,0,0,0,0,0,0,0,-,-,-,-,-,-,0
,183,S,183,B,30,29,3,3,23,3,2,-,-,-,-,-,-,46
,183,L,7,AC,52,41,7,6,-,-,-,-,-,-,-,-,-,220
A=<30,B=48,C=#20
Saturday,09-June-2018,00:10,SS,58M+,PL,3.3,PV,3.3,CL,90,+0,RL,72,SA,201,DS,12
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,288,S,206,A,89,20,8,7,10,4,3,19,8,7,0,0,0,26
,288,S,270,B,0,0,0,0,0,0,0,-,-,-,-,-,-,6
A=<69,B=#28
Saturday,09-June-2018,00:11,SS,85M+,PL,7.3,PV,7.3,CL,118,+0,RL,117,SA,111,DS,98
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,908,S,287,AC,89,-,-,-,71,16,17,26,8,6,-,-,-,66
,196,S,310,A,47,81,10,11,45,6,6,61,5,8,-,-,-,82
,196,S,311,ABE,47,14,3,3,62,9,10,47,7,8,20,3,3,55
,196,S,312,D,45,68,7,9,56,8,8,79,14,14,35,5,4,90
,197,L,71,ABF,54,33,7,6,30,7,6,-,-,-,-,-,-,360
,197,L,72,ABF,54,38,8,7,44,8,7,-,-,-,-,-,-,420
A=<20,B=20,C=#25,D=22,E=17
Saturday,09-June-2018,00:12,SS,6M+,PL,6.3,PV,8.3,CL,86,+0,RL,86,SA,20,DS,41
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,183,S,20,AC,52,41,7,6,23,4,4,41,6,8,0,0,0,41
,183,S,21,B,30,29,3,3,23,3,2,0,0,0,-,-,-,40
,184,S,161,A,90,11,4,3,23,8,7,21,9,7,6,2,2,44
,184,S,162,B,0,0,0,0,0,0,0,-,-,-,-,-,-,0
,183,S,183,B,30,29,3,3,23,3,2,-,-,-,-,-,-,39
,183,L,7,AC,52,41,7,6,-,-,-,-,-,-,-,-,-,220
A=<29,B=48,C=#20
Saturday,09-June-2018,00:12,SS,58M-,PL,3.3,PV,1.3,CL,86,+0,RL,73,SA,201,DS,83
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,288,S,206,A,90,34,14,12,10,4,3,22,10,8,0,0,0,29
,288,S,270,B,0,0,0,0,0,0,0,-,-,-,-,-,-,0
A=<70,B=#26
Saturday,09-June-2018,00:13,SS,10M+,PL,4.2,PV,2.2,CL,104-21,RL,74,SA,59,DS,100
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,354,S,30,A,51,64,8,10,33,8,5,11,3,2,-,-,-,44
,354,S,31,B,18,26,3,2,0,0,0,0,0,0,-,-,-,37
,182,S,34,A,74,6,2,1,14,5,4,-,-,-,-,-,-,13
A=<47,B=53
Saturday,09-June-2018,00:13,SS,85M+,PL,7.3,PV,7.4,CL,115,+0,RL,109,SA,111,DS,95
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,908,S,287,AC,87,-,-,-,74,15,18,13,4,3,-,-,-,70
,196,S,310,A,47,81,10,11,45,6,6,61,5,8,-,-,-,81
,196,S,311,ABE,47,14,3,3,62,9,10,47,7,8,20,3,3,59
,196,S,312,D,45,68,7,9,56,8,8,79,14,14,35,5,4,83
,197,L,71,ABF,44,69,9,10,60,9,10,-,-,-,-,-,-,460
,197,L,72,ABF,44,19,3,3,25,3,3,-,-,-,-,-,-,280
A=<19,B=20,C=#25,D=22,E=17
Saturday,09-June-2018,00:13,SS,6M+,PL,8.3,PV,8.3,CL,86,+0,RL,86,SA,20,DS,61
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,183,S,20,AC,38,61,8,7,10,2,1,20,4,3,0,0,0,50
