Strategic,Monitor,On,Thursday,10-May-2018,filename:CCITY_20180510

Thursday,10-May-2018,00:00,SS,23M+,PL,3.3,PV,3.4,CL,75,-6,RL,75,SA,131,DS,34
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,193,L,57,ABCE,44,7,2,1,16,3,2,31,2,5,-,-,-,280
,193,L,58,AE,44,26,4,3,47,6,8,23,4,4,-,-,-,580
A=<58,B=1,C=42,D=1
Thursday,10-May-2018,00:04,SS,28M+,PL,5.2,PV,8.2,CL,99,+0,RL,99,SA,90,DS,149
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,48,S,89,A,69,10,3,3,8,3,2,-,-,-,-,-,-,20
,48,S,90,A,69,-,-,-,-,-,-,149,5,42,-,-,-,93
,48,S,91,BC,31,43,8,5,24,5,2,-,-,-,-,-,-,37
,48,S,213,A,69,-,-,-,-,-,-,149,5,42,-,-,-,93
,48,L,23,A,69,10,3,3,8,3,2,-,-,-,-,-,-,240
,48,L,49,A,69,-,-,-,-,-,-,149,5,42,-,-,-,900
A=<44,B=34,C=#22
Thursday,10-May-2018,00:04,SS,23M+,PL,8.4,PV,8.3,CL,60-11,RL,60,SA,130,DS,29
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,152,S,130,A,47,12,3,3,15,3,3,29,6,6,-,-,-,22
,152,S,131,A,47,19,4,3,8,2,1,-,-,-,-,-,-,25
,152,S,132,C,23,84,3,6,40,3,4,31,3,3,-,-,-,73
,193,L,57,ABCE,34,19,2,3,67,7,8,59,2,7,-,-,-,640
,193,L,58,AE,34,0,0,0,28,3,3,31,3,4,-,-,-,520
A=<58,B=1,C=42,D=1
Thursday,10-May-2018,00:05,SS,3M+,PL,1.3,PV,1.3,CL,97,+2,RL,72,SA,201,DS,5
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,145,S,9,AC,79,6,2,2,-,-,-,-,-,-,-,-,-,11
,145,S,10,C,18,51,3,4,26,3,2,0,0,0,-,-,-,31
,145,S,133,AB,62,8,3,2,11,2,2,-,-,-,-,-,-,13
,145,S,204,AB,62,-,-,-,-,-,-,-,-,-,-,-,-,0
,145,S,205,AB,62,8,3,2,11,2,2,-,-,-,-,-,-,13
,145,S,212,AC,79,6,2,2,-,-,-,-,-,-,-,-,-,11
,145,L,4,AB,62,8,3,2,11,2,2,-,-,-,-,-,-,240
A=<36,B=#23,C=40
Thursday,10-May-2018,00:05,SS,10M+,PL,3.2,PV,4.2,CL,97,+2,RL,72,SA,15,DS,157
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,354,S,30,A,67,26,9,6,22,8,5,16,5,3,-,-,-,17
,354,S,31,B,19,21,2,1,12,2,1,0,0,0,-,-,-,24
,182,S,34,A,11,0,0,0,13,2,0,-,-,-,-,-,-,6
,2,L,14,AD,52,11,2,2,20,5,5,-,-,-,-,-,-,900
,2,L,15,AD,52,-,-,-,-,-,-,-,-,-,-,-,-,0
A=<53,B=47
Thursday,10-May-2018,00:06,SS,28M+,PL,2.2,PV,2.2,CL,93,+0,RL,93,SA,47,DS,69
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,48,S,89,A,59,15,3,3,12,3,2,-,-,-,-,-,-,15
