Strategic,Monitor,On,Thursday,21-June-2018,filename:CCITY_20180621

Thursday,21-June-2018,00:00,SS,28M+,PL,8.2,PV,8.2,CL,72-17,RL,62,SA,50,DS,141
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,152,S,131,A,45,28,5,4,17,4,3,-,-,-,-,-,-,23
,152,S,132,C,20,26,2,2,23,2,2,95,4,7,-,-,-,58
,193,L,57,ABCE,67,5,2,1,16,4,4,61,7,14,-,-,-,480
,193,L,58,AE,45,19,3,2,40,5,6,34,5,5,-,-,-,480
A=<71,B=1,C=29,D=1
Thursday,21-June-2018,00:08,SS,28M+,PL,8.2,PV,8.2,CL,69,+0,RL,74,SA,90,DS,147
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,48,S,89,A,38,0,0,0,50,7,7,-,-,-,-,-,-,33
,48,S,90,A,38,-,-,-,-,-,-,147,4,23,-,-,-,83
,48,S,91,BC,14,0,0,0,0,0,0,-,-,-,-,-,-,15
,48,S,213,A,38,-,-,-,-,-,-,147,4,23,-,-,-,83
,48,L,23,A,38,0,0,0,50,7,7,-,-,-,-,-,-,260
,48,L,49,A,38,-,-,-,-,-,-,147,4,23,-,-,-,700
A=<40,B=28,C=#22
Thursday,21-June-2018,00:08,SS,3M+,PL,2.3,PV,0.3,CL,86,+0,RL,71,SA,201,DS,100
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,145,S,9,AC,96,9,3,3,-,-,-,-,-,-,-,-,-,13
,145,S,10,C,16,28,2,2,0,0,0,0,0,0,-,-,-,29
,145,S,133,AB,81,6,3,2,19,6,5,-,-,-,-,-,-,16
,145,S,204,AB,81,-,-,-,-,-,-,-,-,-,-,-,-,0
,145,S,205,AB,81,6,3,2,19,6,5,-,-,-,-,-,-,16
,145,S,212,AC,96,9,3,3,-,-,-,-,-,-,-,-,-,13
,145,L,4,AB,81,6,3,2,19,6,5,-,-,-,-,-,-,260
A=<36,B=#23,C=37
Thursday,21-June-2018,00:09,SS,10,+,PL,4.2,PV,4.2,CL,85,+0,RL,74,SA,30,DS,18
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,354,S,30,A,71,18,6,4,12,4,3,10,3,2,-,-,-,18
,354,S,31,B,14,0,0,0,10,2,1,0,0,0,-,-,-,22
,182,S,34,A,50,13,2,2,23,2,4,-,-,-,-,-,-,18
A=<47,B=53
Thursday,21-June-2018,00:09,SS,23M+,PL,7.2,PV,7.2,CL,67,+0,RL,60,SA,130,DS,33
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,152,S,130,A,51,27,8,6,33,10,7,16,5,4,-,-,-,38
,152,S,131,A,51,28,6,5,10,3,2,-,-,-,-,-,-,25
,152,S,132,C,21,58,4,4,18,2,1,33,2,3,-,-,-,61
,193,L,57,ABCE,67,5,2,1,16,4,4,61,7,14,-,-,-,620
,193,L,58,AE,45,19,3,2,40,5,6,34,5,5,-,-,-,480
A=<61,B=1,C=39,D=1
Thursday,21-June-2018,00:09,SS,28M+,PL,4.2,PV,4.2,CL,67,+0,RL,66,SA,47,DS,49
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,48,S,89,A,49,9,2,2,38,5,6,-,-,-,-,-,-,35
,48,S,90,A,49,-,-,-,-,-,-,33,5,7,-,-,-,67
,48,S,91,BC,38,66,3,9,29,4,4,-,-,-,-,-,-,39
,48,S,213,A,49,-,-,-,-,-,-,33,5,7,-,-,-,67
,48,L,23,A,49,9,2,2,38,5,6,-,-,-,-,-,-,320
,48,L,49,A,49,-,-,-,-,-,-,33,5,7,-,-,-,620
A=<31,B=36,C=#22
Thursday,21-June-2018,00:10,SS,3M+,PL,3.3,PV,3.3,CL,86,+0,RL,69,SA,201,DS,12
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,145,S,9,AC,73,17,5,4,-,-,-,-,-,-,-,-,-,13
,145,S,10,C,17,16,2,1,0,0,0,0,0,0,-,-,-,27
,145,S,133,AB,57,12,4,3,8,2,2,-,-,-,-,-,-,15
,145,S,204,AB,57,-,-,-,-,-,-,-,-,-,-,-,-,0
,145,S,205,AB,57,12,4,3,8,2,2,-,-,-,-,-,-,15
,145,S,212,AC,73,17,5,4,-,-,-,-,-,-,-,-,-,13
,145,L,4,AB,57,12,4,3,8,2,2,-,-,-,-,-,-,260
A=<39,B=#23,C=34
Thursday,21-June-2018,00:10,SS,23M+,PL,7.2,PV,7.2,CL,60,+0,RL,60,SA,130,DS,33
,Int,SA/LK,PH,PT,DS,VO,VK,DS,VO,VK,DS,VO,VK,DS,VO,VK,ADS
,152,S,130,A,51,27,8,6,33,10,7,16,5,4,-,-,-,37
,152,S,131,A,51,28,6,5,10,3,2,-,-,-,-,-,-,28
,152,S,132,C,21,58,4,4,18,2,1,33,2,3,-,-,-,66
,193,L,57,ABCE,88,4,2,1,54,15,16,0,0,0,-,-,-,600
,193,L,58,AE,66,9,2,2,30,6,7,27,5,6,-,-,-,460
A=<61,B=1,C=39,D=1
