Strategic,Monitor,On,Friday,01-Jun-18,filename:CCITY_20180601,,,,,,183,196,288,354,,,,,,,,,,,,,,
,INT,OTHER,SA/LK,PH,PT,DS,VO,VK ,DS,VO,VK ,DS,VO,VK ,DS,VO,VK ,ADS,Time Change,Current Time,Reading,Is a Node,Remove Duplicate,Test VO,Total VO,Num Lanes,Summed DS,Average DS
Friday,01-Jun-18,12:55,SS,10,-,PL,4.4,PV,4.4,CL,120,0,RL,115,SA,57,DS,106,0,12:55:00,0,0,0,61.4,0,0,0,0
,Int,SA/LK,PH,PT ,DS,VO,VK ,DS,VO,VK ,DS,VO,VK ,DS,VO,VK ,ADS,,1,12:55:00,0,0,0,0,0,0,0,0
,354,S,30,A,80,105,11,27,66,9,18,22,7,5,-,-,- ,70,1,12:55:00,1,1,1,27,27,3,193,64.3333333333333
,354,S,31,B,50,57,10,10,64,12,13,19,4,4,-,-,- ,65,1,12:55:00,1,1,1,26,26,3,140,46.6666666666667
,182,S,34,A,32,93,4,9,153,3,17,-,-,- ,-,-,- ,103,1,12:55:00,1,0,0,7,0,2,0,0
A=<47 ,B=53,,,,,,,,,,,,,,,,,,1,12:55:00,0,0,0,0,0,0,0,0
Friday,01-Jun-18,12:56,SS,85M+,PL,1.4#,PV,1.3,CL,120,0,RL,131,SA,110,DS,123,,0,12:56:00,0,0,0,251,0,0,0,0
,Int,SA/LK,PH,PT ,DS,VO,VK ,DS,VO,VK ,DS,VO,VK ,DS,VO,VK ,ADS,,1,12:56:00,0,0,0,0,0,0,0,0
,908,S,287,AC,77,-,-,- ,141,10,32,72,10,14,-,-,- ,139,1,12:56:00,1,0,0,20,0,2,0,0
,196,S,310,A,44,87,7,11,70,8,9,82,6,10,-,-,- ,102,1,12:56:00,1,1,1,21,21,3,239,79.6666666666667
,196,S,311,ABE,44,11,2,2,37,5,5,33,5,5,19,4,3,49,1,12:56:00,1,1,1,16,16,4,100,25
,196,S,312,D,46,66,7,9,37,6,5,86,10,15,59,10,8,87,1,12:56:00,1,1,1,33,33,4,248,62
,197,L,71,ABF,40,44,6,6,50,9,8,-,-,- ,-,-,- ,560,1,12:56:00,1,0,0,15,0,2,0,0
,197,L,72,ABF,40,70,5,9,69,6,9,-,-,- ,-,-,- ,460,1,12:56:00,1,0,0,11,0,2,0,0
A=<13 ,B=20,C=#25,D=28,E=18,,,,,,,,,,,,,,,1,12:56:00,0,0,0,0,0,0,0,0
Friday,01-Jun-18,12:57,SS,6M+,PL,1.3,PV,1.3,CL,120,0,RL,134,SA,88,DS,140,,0,12:57:00,0,0,0,254,0,0,0,0
,Int,SA/LK,PH,PT ,DS,VO,VK ,DS,VO,VK ,DS,VO,VK ,DS,VO,VK ,ADS,,1,12:57:00,0,0,0,0,0,0,0,0
,183,S,20,AC,88,150,4,38,65,17,18,63,19,22,27,9,9,146,1,12:57:00,1,1,1,49,49,4,305,76.25
,183,S,21,B,31,28,4,3,0,0,0,61,7,6,-,-,- ,74,1,12:57:00,1,1,1,11,11,3,89,29.6666666666667
,184,S,161,A,66,144,6,29,94,18,21,125,20,34,81,16,17,144,1,12:57:00,1,0,0,60,0,4,0,0
,184,S,162,B,27,0,0,0,0,0,0,-,-,- ,-,-,- ,2,1,12:57:00,1,0,0,0,0,2,0,0
,183,S,183,B,31,28,4,3,0,0,0,-,-,- ,-,-,- ,53,1,12:57:00,1,1,0,4,0,2,0,0
,183,L,7,AC,88,150,4,38,-,-,- ,-,-,- ,-,-,- ,1080,1,12:57:00,1,1,0,4,0,1,0,0
A=<45 ,B=38,C=#20,,,,,,,,,,,,,,,,,1,12:57:00,0,0,0,0,0,0,0,0
Friday,01-Jun-18,12:57,SS,58M+,PL,2.3,PV,2.3,CL,120,0,RL,126,SA,206,DS,109,,0,12:57:00,0,0,0,246,0,0,0,0
,Int,SA/LK,PH,PT ,DS,VO,VK ,DS,VO,VK ,DS,VO,VK ,DS,VO,VK ,ADS,,1,12:57:00,0,0,0,0,0,0,0,0
,288,S,206,A,99,109,34,41,59,16,18,31,12,13,0,0,0,110,1,12:57:00,1,1,1,62,62,4,199,49.75
,288,S,270,B,21,33,2,2,69,4,5,-,-,- ,-,-,- ,64,1,12:57:00,1,1,1,6,6,2,102,51
A=<80 ,B=#24,,,,,,,,,,,,,,,,,,1,12:57:00,0,0,0,0,0,0,0,0
Friday,01-Jun-18,12:57,SS,10,-,PL,4.4,PV,4.4,CL,120,0,RL,113,SA,57,DS,106,0,12:57:00,0,0,0,61.4,0,0,0,0
,Int,SA/LK,PH,PT ,DS,VO,VK ,DS,VO,VK ,DS,VO,VK ,DS,VO,VK ,ADS,,1,12:57:00,0,0,0,0,0,0,0,0
,354,S,30,A,75,73,11,18,74,14,18,36,10,8,-,-,- ,77,1,12:57:00,1,1,1,35,35,3,183,61
,354,S,31,B,40,22,4,3,48,8,8,0,0,0,-,-,- ,59,1,12:57:00,1,1,1,12,12,3,70,23.3333333333333
,182,S,34,A,43,65,6,8,91,10,14,-,-,- ,-,-,- ,108,1,12:57:00,1,0,0,16,0,2,0,0
A=<47 ,B=53,,,,,,,,,,,,,,,,,,1,12:57:00,0,0,0,0,0,0,0,0
Friday,01-Jun-18,12:59,SS,85M+,PL,1.4#,PV,3.3,CL,120,0,RL,132,SA,310,DS,122,,0,12:59:00,0,0,0,252,0,0,0,0
,Int,SA/LK,PH,PT ,DS,VO,VK ,DS,VO,VK ,DS,VO,VK ,DS,VO,VK ,ADS,,1,12:59:00,0,0,0,0,0,0,0,0
,908,S,287,AC,55,-,-,- ,144,4,23,126,9,18,-,-,- ,142,1,12:59:00,1,0,0,13,0,2,0,0
,196,S,310,A,34,0,0,0,83,6,8,164,4,16,-,-,- ,122,1,12:59:00,1,1,1,10,10,3,247,82.3333333333333
,196,S,311,ABE,56,32,6,7,69,10,12,60,12,11,17,4,3,41,1,12:59:00,1,1,1,32,32,4,178,44.5
,196,S,312,D,33,0,0,0,44,4,5,141,10,18,63,7,6,111,1,12:59:00,1,1,1,21,21,4,248,62
,197,L,71,ABF,40,46,7,6,68,8,11,-,-,- ,-,-,- ,520,1,12:59:00,1,0,0,15,0,2,0,0
,197,L,72,ABF,40,67,9,9,68,5,9,-,-,- ,-,-,- ,480,1,12:59:00,1,0,0,14,0,2,0,0
A=<13 ,B=20,C=#25,D=28,E=18,,,,,,,,,,,,,,,1,12:59:00,0,0,0,0,0,0,0,0
Friday,01-Jun-18,12:59,SS,6M+,PL,1.3,PV,1.3,CL,120,0,RL,135,SA,20,DS,150,,0,12:59:00,0,0,0,255,0,0,0,0
,Int,SA/LK,PH,PT ,DS,VO,VK ,DS,VO,VK ,DS,VO,VK ,DS,VO,VK ,ADS,,1,12:59:00,0,0,0,0,0,0,0,0
,183,S,20,AC,88,150,4,38,51,17,14,75,28,26,22,8,7,148,1,12:59:00,1,1,1,57,57,4,298,74.5
,183,S,21,B,31,122,2,12,0,0,0,75,8,8,-,-,- ,90,1,12:59:00,1,1,1,10,10,3,197,65.6666666666667
,184,S,161,A,92,102,2,29,53,15,17,98,31,37,52,15,15,125,1,12:59:00,1,0,0,63,0,4,0,0
,184,S,162,B,51,41,3,7,0,0,0,-,-,- ,-,-,- ,18,1,12:59:00,1,0,0,3,0,2,0,0
,183,S,183,B,31,122,2,12,0,0,0,-,-,- ,-,-,- ,75,1,12:59:00,1,1,0,2,0,2,0,0
,183,L,7,AC,88,150,4,38,-,-,- ,-,-,- ,-,-,- ,1120,1,12:59:00,1,1,0,4,0,1,0,0
A=<45 ,B=38,C=#20,,,,,,,,,,,,,,,,,1,12:59:00,0,0,0,0,0,0,0,0
Friday,01-Jun-18,12:59,SS,58M+,PL,2.3,PV,2.3,CL,120,0,RL,128,SA,206,DS,116,,0,12:59:00,0,0,0,248,0,0,0,0
,Int,SA/LK,PH,PT ,DS,VO,VK ,DS,VO,VK ,DS,VO,VK ,DS,VO,VK ,ADS,,1,12:59:00,0,0,0,0,0,0,0,0
,288,S,206,A,99,116,27,43,93,14,28,57,23,24,0,0,0,108,1,12:59:00,1,1,1,64,64,4,266,66.5
,288,S,270,B,21,39,2,3,35,3,2,-,-,- ,-,-,- ,52,1,12:59:00,1,1,1,5,5,2,74,37
A=<80 ,B=#24,,,,,,,,,,,,,,,,,,1,12:59:00,0,0,0,0,0,0,0,0
Friday,01-Jun-18,12:59,SS,10,+,PL,4.4,PV,4.4,CL,120,0,RL,120,SA,136,DS,154,0,12:59:00,0,0,0,140.4,0,0,0,0
,Int,SA/LK,PH,PT ,DS,VO,VK ,DS,VO,VK ,DS,VO,VK ,DS,VO,VK ,ADS,,1,12:59:00,0,0,0,0,0,0,0,0
,354,S,30,A,80,92,19,24,51,9,14,46,11,11,-,-,- ,89,1,12:59:00,1,1,1,39,39,3,189,63
,354,S,31,B,53,76,14,15,92,15,19,12,2,2,-,-,- ,71,1,12:59:00,1,1,1,31,31,3,180,60
,182,S,34,A,55,70,10,12,51,7,10,-,-,- ,-,-,- ,95,1,12:59:00,1,0,0,17,0,2,0,0
A=<47 ,B=53,,,,,,,,,,,,,,,,,,1,12:59:00,0,0,0,0,0,0,0,0
Friday,01-Jun-18,13:00,SS,85M+,PL,3.4#,PV,3.3,CL,120,0,RL,136,SA,310,DS,149,,0,13:00:00,0,0,0,256,0,0,0,0
,Int,SA/LK,PH,PT ,DS,VO,VK ,DS,VO,VK ,DS,VO,VK ,DS,VO,VK ,ADS,,1,13:00:00,0,0,0,0,0,0,0,0
,908,S,287,AC,76,-,-,- ,148,6,33,99,10,19,-,-,- ,145,1,13:00:00,1,0,0,16,0,2,0,0
,196,S,310,A,37,80,7,8,73,6,8,169,4,18,-,-,- ,149,1,13:00:00,1,1,1,17,17,3,322,107.333333333333
,196,S,311,ABE,36,0,0,0,33,5,4,43,3,5,20,3,3,42,1,13:00:00,1,1,1,11,11,4,96,24
,196,S,312,D,55,54,8,9,24,5,4,101,15,21,50,10,8,111,1,13:00:00,1,1,1,38,38,4,229,57.25
,197,L,71,ABF,40,89,8,12,87,9,14,-,-,- ,-,-,- ,600,1,13:00:00,1,0,0,17,0,2,0,0
,197,L,72,ABF,40,58,6,8,64,4,8,-,-,- ,-,-,- ,520,1,13:00:00,1,0,0,10,0,2,0,0
A=<15 ,B=20,C=#25,D=26,E=18,,,,,,,,,,,,,,,1,13:00:00,0,0,0,0,0,0,0,0
Friday,01-Jun-18,13:01,SS,6M+,PL,1.3,PV,1.3,CL,120,0,RL,135,SA,14,DS,149,,0,13:01:00,0,0,0,255,0,0,0,0
,Int,SA/LK,PH,PT ,DS,VO,VK ,DS,VO,VK ,DS,VO,VK ,DS,VO,VK ,ADS,,1,13:01:00,0,0,0,0,0,0,0,0
,183,S,20,AC,88,150,3,38,68,16,19,79,25,27,37,13,12,150,1,13:01:00,1,1,1,57,57,4,334,83.5
,183,S,21,B,31,109,5,11,143,3,16,66,7,7,-,-,- ,118,1,13:01:00,1,1,1,15,15,3,318,106
,184,S,161,A,69,152,3,32,84,16,20,126,20,35,73,16,16,134,1,13:01:00,1,0,0,55,0,4,0,0
,184,S,162,B,38,8,2,1,9,2,1,-,-,- ,-,-,- ,18,1,13:01:00,1,0,0,4,0,2,0,0
,183,S,183,B,31,109,5,11,143,3,16,-,-,- ,-,-,- ,111,1,13:01:00,1,1,0,8,0,2,0,0
,183,L,7,AC,88,150,3,38,-,-,- ,-,-,- ,-,-,- ,1140,1,13:01:00,1,1,0,3,0,1,0,0
A=<45 ,B=38,C=#20,,,,,,,,,,,,,,,,,1,13:01:00,0,0,0,0,0,0,0,0
Friday,01-Jun-18,13:01,SS,58M+,PL,2.3,PV,2.3,CL,120,0,RL,132,SA,206,DS,121,,0,13:01:00,0,0,0,252,0,0,0,0
,Int,SA/LK,PH,PT ,DS,VO,VK ,DS,VO,VK ,DS,VO,VK ,DS,VO,VK ,ADS,,1,13:01:00,0,0,0,0,0,0,0,0
,288,S,206,A,99,121,26,45,71,17,21,18,6,7,0,0,0,117,1,13:01:00,1,1,1,49,49,4,210,52.5
,288,S,270,B,21,21,2,1,75,4,5,-,-,- ,-,-,- ,62,1,13:01:00,1,1,1,6,6,2,96,48
A=<80 ,B=#24,,,,,,,,,,,,,,,,,,1,13:01:00,0,0,0,0,0,0,0,0
Friday,01-Jun-18,13:01,SS,10,+,PL,4.4,PV,4.4,CL,120,0,RL,112,SA,30,DS,78,0,13:01:00,0,0,0,34.4,0,0,0,0
,Int,SA/LK,PH,PT ,DS,VO,VK ,DS,VO,VK ,DS,VO,VK ,DS,VO,VK ,ADS,,1,13:01:00,0,0,0,0,0,0,0,0
,354,S,30,A,67,78,8,17,77,11,17,36,8,7,-,-,- ,82,1,13:01:00,1,1,1,27,27,3,191,63.6666666666667
,354,S,31,B,37,52,7,7,53,9,8,0,0,0,-,-,- ,65,1,13:01:00,1,1,1,16,16,3,105,35
,182,S,34,A,27,58,4,5,122,8,12,-,-,- ,-,-,- ,98,1,13:01:00,1,0,0,12,0,2,0,0
A=<47 ,B=53,,,,,,,,,,,,,,,,,,1,13:01:00,0,0,0,0,0,0,0,0
Friday,01-Jun-18,13:03,SS,85M+,PL,3.4#,PV,4.3,CL,120,0,RL,139,SA,310,DS,162,,0,13:03:00,0,0,0,259,0,0,0,0
,Int,SA/LK,PH,PT ,DS,VO,VK ,DS,VO,VK ,DS,VO,VK ,DS,VO,VK ,ADS,,1,13:03:00,0,0,0,0,0,0,0,0
,908,S,287,AC,83,-,-,- ,140,12,34,78,13,17,-,-,- ,144,1,13:03:00,1,0,0,25,0,2,0,0
,196,S,310,A,41,98,6,11,71,6,9,156,8,18,-,-,- ,162,1,13:03:00,1,1,1,20,20,3,325,108.333333333333
,196,S,311,ABE,41,32,5,5,92,10,12,66,7,9,37,6,5,65,1,13:03:00,1,1,1,28,28,4,227,56.75
,196,S,312,D,53,0,0,0,12,3,2,85,11,17,39,8,6,103,1,13:03:00,1,1,1,22,22,4,136,34
,197,L,71,ABF,40,79,10,11,68,10,11,-,-,- ,-,-,- ,660,1,13:03:00,1,0,0,20,0,2,0,0
,197,L,72,ABF,40,136,5,18,95,6,12,-,-,- ,-,-,- ,680,1,13:03:00,1,0,0,11,0,2,0,0
A=<15 ,B=20,C=#25,D=26,E=18,,,,,,,,,,,,,,,1,13:03:00,0,0,0,0,0,0,0,0
Friday,01-Jun-18,13:03,SS,6M+,PL,1.3,PV,1.3,CL,120,0,RL,135,SA,14,DS,148,,0,13:03:00,0,0,0,255,0,0,0,0
,Int,SA/LK,PH,PT ,DS,VO,VK ,DS,VO,VK ,DS,VO,VK ,DS,VO,VK ,ADS,,1,13:03:00,0,0,0,0,0,0,0,0
,183,S,20,AC,67,145,4,28,28,6,6,32,8,8,16,5,4,148,1,13:03:00,1,1,1,23,23,4,221,55.25
,183,S,21,B,31,66,7,7,134,6,15,59,7,6,-,-,- ,134,1,13:03:00,1,1,1,20,20,3,259,86.3333333333333
,184,S,161,A,98,152,2,46,93,14,31,59,20,24,42,13,13,141,1,13:03:00,1,0,0,49,0,4,0,0
,184,S,162,B,38,0,0,0,13,3,2,-,-,- ,-,-,- ,18,1,13:03:00,1,0,0,3,0,2,0,0
,183,S,183,B,31,66,7,7,134,6,15,-,-,- ,-,-,- ,134,1,13:03:00,1,1,0,13,0,2,0,0
,183,L,7,AC,67,145,4,28,-,-,- ,-,-,- ,-,-,- ,1000,1,13:03:00,1,1,0,4,0,1,0,0
A=<45 ,B=38,C=#20,,,,,,,,,,,,,,,,,1,13:03:00,0,0,0,0,0,0,0,0
Friday,01-Jun-18,13:03,SS,10,+,PL,4.4,PV,4.4,CL,120,0,RL,108,SA,170,DS,170,0,13:03:00,0,0,0,174.4,0,0,0,0
,Int,SA/LK,PH,PT ,DS,VO,VK ,DS,VO,VK ,DS,VO,VK ,DS,VO,VK ,ADS,,1,13:03:00,0,0,0,0,0,0,0,0
,354,S,30,A,83,63,16,17,37,15,10,60,11,15,-,-,- ,74,1,13:03:00,1,1,1,42,42,3,160,53.3333333333333
,354,S,31,B,53,96,14,19,97,17,20,32,4,6,-,-,- ,81,1,13:03:00,1,1,1,35,35,3,225,75
,182,S,34,A,62,89,5,17,94,6,21,-,-,- ,-,-,- ,98,1,13:03:00,1,0,0,11,0,2,0,0
A=<47 ,B=53,,,,,,,,,,,,,,,,,,1,13:03:00,0,0,0,0,0,0,0,0
Friday,01-Jun-18,13:03,SS,58M+,PL,2.3,PV,2.3,CL,120,0,RL,128,SA,206,DS,98,,0,13:03:00,0,0,0,248,0,0,0,0
,Int,SA/LK,PH,PT ,DS,VO,VK ,DS,VO,VK ,DS,VO,VK ,DS,VO,VK ,ADS,,1,13:03:00,0,0,0,0,0,0,0,0
,288,S,206,A,99,98,23,36,88,18,26,25,11,10,0,0,0,110,1,13:03:00,1,1,1,52,52,4,211,52.75
,288,S,270,B,22,45,3,3,76,5,5,-,-,- ,-,-,- ,68,1,13:03:00,1,1,1,8,8,2,121,60.5
A=<80 ,B=#24,,,,,,,,,,,,,,,,,,1,13:03:00,0,0,0,0,0,0,0,0
Friday,01-Jun-18,13:04,SS,85M+,PL,4.4#,PV,4.3,CL,120,0,RL,140,SA,310,DS,159,,0,13:04:00,0,0,0,260,0,0,0,0
,Int,SA/LK,PH,PT ,DS,VO,VK ,DS,VO,VK ,DS,VO,VK ,DS,VO,VK ,ADS,,1,13:04:00,0,0,0,0,0,0,0,0
,908,S,287,AC,73,-,-,- ,144,9,31,75,9,14,-,-,- ,144,1,13:04:00,1,0,0,18,0,2,0,0
,196,S,310,A,41,98,6,11,71,6,9,156,8,18,-,-,- ,159,1,13:04:00,1,1,1,20,20,3,325,108.333333333333
,196,S,311,ABE,41,32,5,5,92,10,12,66,7,9,37,6,5,81,1,13:04:00,1,1,1,28,28,4,227,56.75
,196,S,312,D,53,0,0,0,12,3,2,85,11,17,39,8,6,89,1,13:04:00,1,1,1,22,22,4,136,34
,197,L,71,ABF,40,51,8,7,46,8,7,-,-,- ,-,-,- ,580,1,13:04:00,1,0,0,16,0,2,0,0
,197,L,72,ABF,40,61,7,8,123,11,16,-,-,- ,-,-,- ,720,1,13:04:00,1,0,0,18,0,2,0,0
A=<16 ,B=20,C=#25,D=25,E=18,,,,,,,,,,,,,,,1,13:04:00,0,0,0,0,0,0,0,0
Friday,01-Jun-18,13:05,SS,6M+,PL,1.3,PV,1.3,CL,120,0,RL,134,SA,14,DS,148,,0,13:05:00,0,0,0,254,0,0,0,0
,Int,SA/LK,PH,PT ,DS,VO,VK ,DS,VO,VK ,DS,VO,VK ,DS,VO,VK ,ADS,,1,13:05:00,0,0,0,0,0,0,0,0
,183,S,20,AC,67,145,4,28,28,6,6,32,8,8,16,5,4,146,1,13:05:00,1,1,1,23,23,4,221,55.25
,183,S,21,B,31,66,7,7,134,6,15,59,7,6,-,-,- ,136,1,13:05:00,1,1,1,20,20,3,259,86.3333333333333
,184,S,161,A,72,141,11,31,113,20,28,118,21,35,64,13,14,147,1,13:05:00,1,0,0,65,0,4,0,0
,184,S,162,B,54,10,2,2,8,2,2,-,-,- ,-,-,- ,11,1,13:05:00,1,0,0,4,0,2,0,0
,183,S,183,B,31,66,7,7,134,6,15,-,-,- ,-,-,- ,136,1,13:05:00,1,1,0,13,0,2,0,0
,183,L,7,AC,67,145,4,28,-,-,- ,-,-,- ,-,-,- ,900,1,13:05:00,1,1,0,4,0,1,0,0
A=<45 ,B=38,C=#20,,,,,,,,,,,,,,,,,1,13:05:00,0,0,0,0,0,0,0,0
Friday,01-Jun-18,13:05,SS,58M+,PL,2.3,PV,2.3,CL,120,0,RL,125,SA,206,DS,98,,0,13:05:00,0,0,0,245,0,0,0,0
,Int,SA/LK,PH,PT ,DS,VO,VK ,DS,VO,VK ,DS,VO,VK ,DS,VO,VK ,ADS,,1,13:05:00,0,0,0,0,0,0,0,0
,288,S,206,A,98,98,16,36,93,16,27,32,12,13,0,0,0,103,1,13:05:00,1,1,1,44,44,4,223,55.75
,288,S,270,B,21,74,6,5,63,4,4,-,-,- ,-,-,- ,75,1,13:05:00,1,1,1,10,10,2,137,68.5
A=<80 ,B=#24,,,,,,,,,,,,,,,,,,1,13:05:00,0,0,0,0,0,0,0,0
Friday,01-Jun-18,13:06,SS,10M-,PL,4.4,PV,4.4,CL,120+17,RL,104,SA,60,DS,93,,,0,13:06:00,0,0,0,93,0,0,0,0
,Int,SA/LK,PH,PT ,DS,VO,VK ,DS,VO,VK ,DS,VO,VK ,DS,VO,VK ,ADS,,1,13:06:00,0,0,0,0,0,0,0,0
,354,S,30,A,67,72,5,16,62,6,14,14,3,3,-,-,- ,70,1,13:06:00,1,1,1,14,14,3,148,49.3333333333333
,354,S,31,B,41,71,9,11,44,6,7,15,3,2,-,-,- ,77,1,13:06:00,1,1,1,18,18,3,130,43.3333333333333
,182,S,34,A,66,23,6,5,61,11,14,-,-,- ,-,-,- ,68,1,13:06:00,1,0,0,17,0,2,0,0
A=<47 ,B=53,,,,,,,,,,,,,,,,,,1,13:06:00,0,0,0,0,0,0,0,0
Friday,01-Jun-18,13:06,SS,85M+,PL,4.4#,PV,4.2,CL,120,0,RL,138,SA,313,DS,117,,0,13:06:00,0,0,0,258,0,0,0,0
,Int,SA/LK,PH,PT ,DS,VO,VK ,DS,VO,VK ,DS,VO,VK ,DS,VO,VK ,ADS,,1,13:06:00,0,0,0,0,0,0,0,0
,908,S,287,AC,99,-,-,- ,92,2,27,97,4,25,-,-,- ,122,1,13:06:00,1,0,0,6,0,2,0,0
,196,S,310,A,42,0,0,0,44,5,5,81,5,10,-,-,- ,122,1,13:06:00,1,1,1,10,10,3,125,41.6666666666667
,196,S,311,ABE,41,0,0,0,39,6,5,45,6,6,17,3,2,71,1,13:06:00,1,1,1,15,15,4,101,25.25
,196,S,312,D,45,24,3,3,58,8,8,78,12,13,44,7,6,82,1,13:06:00,1,1,1,30,30,4,204,51
,197,L,71,ABF,40,49,6,7,50,5,8,-,-,- ,-,-,- ,480,1,13:06:00,1,0,0,11,0,2,0,0
,197,L,72,ABF,40,73,6,10,91,8,12,-,-,- ,-,-,- ,740,1,13:06:00,1,0,0,14,0,2,0,0
A=<16 ,B=20,C=#25,D=25,E=18,,,,,,,,,,,,,,,1,13:06:00,0,0,0,0,0,0,0,0
Friday,01-Jun-18,13:07,SS,6M+,PL,1.3,PV,1.3,CL,120,0,RL,134,SA,14,DS,144,,0,13:07:00,0,0,0,254,0,0,0,0
,Int,SA/LK,PH,PT ,DS,VO,VK ,DS,VO,VK ,DS,VO,VK ,DS,VO,VK ,ADS,,1,13:07:00,0,0,0,0,0,0,0,0
,183,S,20,AC,110,141,15,45,65,22,23,71,26,31,35,12,14,143,1,13:07:00,1,1,1,75,75,4,312,78
,183,S,21,B,31,45,4,5,151,2,17,57,4,6,-,-,- ,142,1,13:07:00,1,1,1,10,10,3,253,84.3333333333333
,184,S,161,A,60,141,9,26,96,12,20,101,17,25,87,13,16,143,1,13:07:00,1,0,0,51,0,4,0,0
,184,S,162,B,54,6,2,1,0,0,0,-,-,- ,-,-,- ,9,1,13:07:00,1,0,0,2,0,2,0,0
,183,S,183,B,31,45,4,5,151,2,17,-,-,- ,-,-,- ,142,1,13:07:00,1,1,0,6,0,2,0,0
,183,L,7,AC,110,141,15,45,-,-,- ,-,-,- ,-,-,- ,1060,1,13:07:00,1,1,0,15,0,1,0,0
A=<45 ,B=38,C=#20,,,,,,,,,,,,,,,,,1,13:07:00,0,0,0,0,0,0,0,0
Friday,01-Jun-18,13:07,SS,58M+,PL,2.3,PV,2.3,CL,120,0,RL,128,SA,206,DS,125,,0,13:07:00,0,0,0,248,0,0,0,0
,Int,SA/LK,PH,PT ,DS,VO,VK ,DS,VO,VK ,DS,VO,VK ,DS,VO,VK ,ADS,,1,13:07:00,0,0,0,0,0,0,0,0
,288,S,206,A,99,125,23,47,64,15,19,28,12,12,0,0,0,110,1,13:07:00,1,1,1,50,50,4,217,54.25
,288,S,270,B,21,25,2,2,44,3,3,-,-,- ,-,-,- ,61,1,13:07:00,1,1,1,5,5,2,69,34.5
A=<80 ,B=#24,,,,,,,,,,,,,,,,,,1,13:07:00,0,0,0,0,0,0,0,0
Friday,01-Jun-18,13:08,SS,10M-,PL,4.4,PV,4.4,CL,120+18,RL,104,SA,30,DS,67,,,0,13:08:00,0,0,0,67,0,0,0,0
,Int,SA/LK,PH,PT ,DS,VO,VK ,DS,VO,VK ,DS,VO,VK ,DS,VO,VK ,ADS,,1,13:08:00,0,0,0,0,0,0,0,0
,354,S,30,A,79,67,10,17,63,10,17,39,6,9,-,-,- ,70,1,13:08:00,1,1,1,26,26,3,169,56.3333333333333
,354,S,31,B,53,48,8,9,92,15,19,8,2,2,-,-,- ,80,1,13:08:00,1,1,1,25,25,3,148,49.3333333333333
,182,S,34,A,75,53,9,12,137,11,36,-,-,- ,-,-,- ,95,1,13:08:00,1,0,0,20,0,2,0,0
A=<47 ,B=53,,,,,,,,,,,,,,,,,,1,13:08:00,0,0,0,0,0,0,0,0
Friday,01-Jun-18,13:09,SS,85M+,PL,1.4#,PV,1.3,CL,120,0,RL,130,SA,313,DS,139,,0,13:09:00,0,0,0,250,0,0,0,0
,Int,SA/LK,PH,PT ,DS,VO,VK ,DS,VO,VK ,DS,VO,VK ,DS,VO,VK ,ADS,,1,13:09:00,0,0,0,0,0,0,0,0
,908,S,287,AC,79,-,-,- ,144,8,33,145,8,30,-,-,- ,129,1,13:09:00,1,0,0,16,0,2,0,0
,196,S,310,A,48,33,5,4,68,7,10,83,7,11,-,-,- ,98,1,13:09:00,1,1,1,19,19,3,184,61.3333333333333
,196,S,311,ABE,48,8,2,2,45,6,7,41,7,7,42,7,7,55,1,13:09:00,1,1,1,22,22,4,136,34
,196,S,312,D,50,9,2,1,39,7,6,82,13,16,0,0,0,81,1,13:09:00,1,1,1,22,22,4,130,32.5
,197,L,71,ABF,40,76,11,10,70,12,11,-,-,- ,-,-,- ,520,1,13:09:00,1,0,0,23,0,2,0,0
,197,L,72,ABF,40,58,5,8,70,9,9,-,-,- ,-,-,- ,600,1,13:09:00,1,0,0,14,0,2,0,0
A=<13 ,B=20,C=#25,D=28,E=18,,,,,,,,,,,,,,,1,13:09:00,0,0,0,0,0,0,0,0
Friday,01-Jun-18,13:10,SS,6M+,PL,2.3,PV,2.3,CL,120-25,RL,133,SA,14,DS,152,,,0,13:10:00,0,0,0,152,0,0,0,0
,Int,SA/LK,PH,PT ,DS,VO,VK ,DS,VO,VK ,DS,VO,VK ,DS,VO,VK ,ADS,,1,13:10:00,0,0,0,0,0,0,0,0
,183,S,20,AC,89,0,0,0,96,4,27,137,19,48,102,17,33,141,1,13:10:00,1,1,1,40,40,4,335,83.75
,183,S,21,B,31,126,2,13,0,0,0,146,2,15,-,-,- ,147,1,13:10:00,1,1,1,4,4,3,272,90.6666666666667
,184,S,161,A,66,153,2,31,94,13,21,132,15,35,85,14,18,150,1,13:10:00,1,0,0,44,0,4,0,0
,184,S,162,B,27,44,3,4,0,0,0,-,-,- ,-,-,- ,36,1,13:10:00,1,0,0,3,0,2,0,0
,183,S,183,B,31,126,2,13,0,0,0,-,-,- ,-,-,- ,138,1,13:10:00,1,1,0,2,0,2,0,0
,183,L,7,AC,89,0,0,0,-,-,- ,-,-,- ,-,-,- ,660,1,13:10:00,1,1,0,0,0,1,0,0
A=<43 ,B=40,C=#20,,,,,,,,,,,,,,,,,1,13:10:00,0,0,0,0,0,0,0,0
Friday,01-Jun-18,13:10,SS,10M+,PL,4.4,PV,4.4,CL,120,0,RL,117,SA,30,DS,110,,0,13:10:00,0,0,0,237,0,0,0,0
,Int,SA/LK,PH,PT ,DS,VO,VK ,DS,VO,VK ,DS,VO,VK ,DS,VO,VK ,ADS,,1,13:10:00,0,0,0,0,0,0,0,0
