Strategic,Monitor,On,Friday,01-Jun-18,filename:CCITY_20180601,,,,,,183,196,288,354,,,,,,,,,,,,,,
,INT,OTHER,SA/LK,PH,PT,DS,VO,VK ,DS,VO,VK ,DS,VO,VK ,DS,VO,VK ,ADS,Time Change,Current Time,Reading,Is a Node,Remove Duplicate,Test VO,Total VO,Num Lanes,Summed DS,Average DS
,196,S,312,D,34,44,3,5,37,5,4,58,9,7,0,0,0,79,1,00:08:00,1,1,1,17,17,4,139,34.75
,197,L,71,ABF,80,14,6,4,14,6,4,-,-,- ,-,-,- ,340,1,00:08:00,1,0,0,12,0,2,0,0
,197,L,72,ABF,80,30,5,8,34,4,9,-,-,- ,-,-,- ,460,1,00:08:00,1,0,0,9,0,2,0,0
A=<22 ,B=20,C=#25,D=20,E=17,,,,,,,,,,,,,,,1,00:08:00,0,0,0,0,0,0,0,0
Friday,01-Jun-18,00:09,SS,6M+,PL,6.3,PV,5.3,CL,106,0,RL,89,SA,20,DS,25,,0,00:09:00,0,0,0,195,0,0,0,0
,Int,SA/LK,PH,PT ,DS,VO,VK ,DS,VO,VK ,DS,VO,VK ,DS,VO,VK ,ADS,,1,00:09:00,0,0,0,0,0,0,0,0
,183,S,20,AC,58,22,5,4,25,5,5,17,4,4,7,2,1,34,1,00:09:00,1,1,1,16,16,4,71,17.75
,183,S,21,B,0,0,0,0,0,0,0,0,0,0,-,-,- ,23,1,00:09:00,1,1,1,0,0,3,0,0
,184,S,161,A,106,16,6,5,27,11,10,16,8,7,6,2,2,29,1,00:09:00,1,0,0,27,0,4,0,0
,184,S,162,B,0,0,0,0,0,0,0,-,-,- ,-,-,- ,0,1,00:09:00,1,0,0,0,0,2,0,0
,183,S,183,B,0,0,0,0,0,0,0,-,-,- ,-,-,- ,23,1,00:09:00,1,1,0,0,0,2,0,0
,183,L,7,AC,58,22,5,4,-,-,- ,-,-,- ,-,-,- ,220,1,00:09:00,1,1,0,5,0,1,0,0
A=<33 ,B=48,C=#20,,,,,,,,,,,,,,,,,1,00:09:00,0,0,0,0,0,0,0,0
Friday,01-Jun-18,00:09,SS,58M+,PL,4.3,PV,4.3,CL,106,0,RL,88,SA,0,DS,0,,0,00:09:00,0,0,0,194,0,0,0,0
,Int,SA/LK,PH,PT ,DS,VO,VK ,DS,VO,VK ,DS,VO,VK ,DS,VO,VK ,ADS,,1,00:09:00,0,0,0,0,0,0,0,0
,288,S,206,A,86,25,10,8,0,0,0,18,8,6,0,0,0,24,1,00:09:00,1,1,1,18,18,4,43,10.75
,288,S,270,B,11,0,0,0,22,2,1,-,-,- ,-,-,- ,21,1,00:09:00,1,1,1,2,2,2,22,11
A=<75 ,B=#26,,,,,,,,,,,,,,,,,,1,00:09:00,0,0,0,0,0,0,0,0
Friday,01-Jun-18,00:10,SS,10M-,PL,4.2,PV,4.2,CL,85-13,RL,64,SA,30,DS,28,,,0,00:10:00,0,0,0,28,0,0,0,0
